"","x"
"1",13
"2",1
"3",3
"4",13
"5",15
"6",6
"7",12
"8",11
"9",6
"10",12
"11",4
"12",14
"13",6
"14",13
"15",8
"16",8
"17",3
"18",6
"19",5
"20",8
"21",13
"22",9
"23",3
"24",15
"25",1
"26",11
"27",8
"28",13
"29",7
"30",9
"31",4
"32",3
"33",10
"34",2
"35",13
"36",10
"37",14
"38",4
"39",15
"40",8
"41",14
"42",6
"43",3
"44",14
"45",8
"46",3
"47",8
"48",9
"49",6
"50",2
"51",13
"52",7
"53",8
"54",15
"55",6
"56",6
"57",11
"58",12
"59",6
"60",5
"61",14
"62",14
"63",13
"64",12
"65",10
"66",13
"67",4
"68",14
"69",5
"70",15
"71",8
"72",9
"73",12
"74",15
"75",14
"76",8
"77",12
"78",9
"79",9
"80",5
"81",13
"82",2
"83",4
"84",15
"85",6
"86",13
"87",3
"88",6
"89",1
"90",8
"91",10
"92",6
"93",7
"94",5
"95",8
"96",14
"97",6
"98",15
"99",14
"100",6
"101",15
"102",2
"103",3
"104",15
"105",15
"106",13
"107",6
"108",8
"109",12
"110",13
"111",14
"112",2
"113",13
"114",13
"115",7
"116",6
"117",3
"118",9
"119",5
"120",1
"121",12
"122",13
"123",6
"124",6
"125",6
"126",12
"127",15
"128",9
"129",7
"130",1
"131",12
"132",3
"133",1
"134",6
"135",15
"136",3
"137",4
"138",12
"139",12
"140",5
"141",5
"142",15
"143",7
"144",12
"145",3
"146",2
"147",5
"148",15
"149",3
"150",15
"151",12
"152",1
"153",6
"154",12
"155",8
"156",4
"157",4
"158",6
"159",13
"160",1
"161",2
"162",6
"163",6
"164",7
"165",13
"166",5
"167",15
"168",3
"169",9
"170",12
"171",5
"172",15
"173",14
"174",14
"175",9
"176",6
"177",1
"178",4
"179",15
"180",15
"181",9
"182",13
"183",5
"184",13
"185",10
"186",15
"187",1
"188",13
"189",15
"190",13
"191",3
"192",9
"193",7
"194",11
"195",1
"196",13
"197",13
"198",8
"199",9
"200",13
"201",4
"202",9
"203",8
"204",8
"205",12
"206",5
"207",10
"208",5
"209",9
"210",12
"211",2
"212",10
"213",4
"214",15
"215",13
"216",10
"217",15
"218",13
"219",8
"220",9
"221",13
"222",1
"223",13
"224",9
"225",12
"226",12
"227",15
"228",3
"229",12
"230",9
"231",11
"232",9
"233",13
"234",3
"235",13
"236",8
"237",6
"238",15
"239",1
"240",6
"241",1
"242",6
"243",6
"244",6
"245",15
"246",10
"247",6
"248",4
"249",12
"250",9
"251",2
"252",15
"253",15
"254",9
"255",5
"256",6
"257",15
"258",1
"259",8
"260",3
"261",4
"262",1
"263",12
"264",1
"265",3
"266",3
"267",9
"268",8
"269",15
"270",4
"271",14
"272",13
"273",12
"274",2
"275",5
"276",12
"277",11
"278",12
"279",15
"280",8
"281",4
"282",6
"283",15
"284",3
"285",13
"286",8
"287",8
"288",3
"289",1
"290",10
"291",12
"292",15
"293",6
"294",4
"295",5
"296",10
"297",13
"298",4
"299",11
"300",8
"301",6
"302",15
"303",8
"304",7
"305",12
"306",5
"307",9
"308",15
"309",13
"310",6
"311",13
"312",3
"313",9
"314",8
"315",14
"316",3
"317",13
"318",12
"319",9
"320",8
"321",3
"322",3
"323",9
"324",12
"325",12
"326",10
"327",10
"328",4
"329",15
"330",10
"331",3
"332",6
"333",3
"334",8
"335",5
"336",13
"337",12
"338",9
"339",2
"340",12
"341",12
"342",13
"343",5
"344",1
"345",6
"346",10
"347",10
"348",13
"349",12
"350",5
"351",5
"352",5
"353",10
"354",12
"355",5
"356",6
"357",15
"358",8
"359",15
"360",12
"361",6
"362",15
"363",6
"364",13
"365",12
"366",3
"367",13
"368",1
"369",11
"370",1
"371",6
"372",12
"373",6
"374",13
"375",9
"376",12
"377",5
"378",13
"379",9
"380",1
"381",15
"382",1
"383",8
"384",2
"385",5
"386",11
"387",9
"388",2
"389",11
"390",15
"391",13
"392",15
"393",2
"394",1
"395",15
"396",15
"397",3
"398",12
"399",15
"400",14
"401",13
"402",15
"403",1
"404",14
"405",9
"406",4
"407",12
"408",3
"409",5
"410",7
"411",4
"412",12
"413",9
"414",5
"415",9
"416",3
"417",3
"418",8
"419",9
"420",6
"421",6
"422",6
"423",15
"424",13
"425",8
"426",6
"427",12
"428",3
"429",8
"430",14
"431",6
"432",3
"433",5
"434",12
"435",10
"436",6
"437",9
"438",11
"439",13
"440",13
"441",5
"442",6
"443",10
"444",8
"445",6
"446",5
"447",7
"448",12
"449",12
"450",6
"451",1
"452",6
"453",8
"454",8
"455",15
"456",15
"457",15
"458",9
"459",1
"460",13
"461",3
"462",13
"463",3
"464",12
"465",1
"466",1
"467",1
"468",10
"469",10
"470",15
"471",1
"472",6
"473",2
"474",1
"475",2
"476",15
"477",8
"478",14
"479",1
"480",8
"481",15
"482",10
"483",15
"484",12
"485",10
"486",13
"487",12
"488",12
"489",1
"490",3
"491",13
"492",7
"493",5
"494",2
"495",15
"496",3
"497",12
"498",6
"499",1
"500",3
"501",6
"502",12
"503",9
"504",12
"505",3
"506",14
"507",12
"508",8
"509",5
"510",11
"511",6
"512",2
"513",5
"514",4
"515",12
"516",15
"517",12
"518",2
"519",8
"520",9
"521",15
"522",8
"523",3
"524",9
"525",3
"526",12
"527",15
"528",8
"529",8
"530",9
"531",6
"532",13
"533",15
"534",8
"535",15
"536",15
"537",6
"538",13
"539",6
"540",2
"541",15
"542",15
"543",9
"544",8
"545",9
"546",12
"547",8
"548",1
"549",12
"550",14
"551",15
"552",12
"553",4
"554",7
"555",1
"556",4
"557",5
"558",8
"559",9
"560",6
"561",9
"562",12
"563",5
"564",10
"565",2
"566",7
"567",1
"568",6
"569",8
"570",5
"571",6
"572",15
"573",15
"574",4
"575",9
"576",11
"577",12
"578",3
"579",14
"580",12
"581",10
"582",15
"583",8
"584",6
"585",3
"586",8
"587",8
"588",2
"589",6
"590",6
"591",15
"592",12
"593",6
"594",8
"595",11
"596",9
"597",1
"598",11
"599",4
"600",4
"601",8
"602",6
"603",9
"604",12
"605",9
"606",12
"607",1
"608",2
"609",8
"610",9
"611",7
"612",14
"613",5
"614",1
"615",9
"616",10
"617",8
"618",12
"619",15
"620",13
"621",15
"622",15
"623",12
"624",6
"625",8
"626",8
"627",8
"628",13
"629",12
"630",10
"631",8
"632",6
"633",15
"634",6
"635",15
"636",8
"637",12
"638",12
"639",15
"640",15
"641",12
"642",6
"643",10
"644",8
"645",8
"646",9
"647",11
"648",12
"649",7
"650",6
"651",6
"652",13
"653",8
"654",9
"655",2
"656",13
"657",2
"658",9
"659",1
"660",10
"661",7
"662",12
"663",12
"664",12
"665",9
"666",1
"667",8
"668",8
"669",12
"670",6
"671",6
"672",6
"673",13
"674",8
"675",12
"676",1
"677",10
"678",14
"679",2
"680",6
"681",8
"682",12
"683",15
"684",14
"685",3
"686",1
"687",12
"688",9
"689",12
"690",12
"691",12
"692",13
"693",7
"694",15
"695",6
"696",13
"697",6
"698",7
"699",7
"700",8
"701",6
"702",15
"703",1
"704",12
"705",9
"706",9
"707",9
"708",1
"709",13
"710",14
"711",15
"712",1
"713",3
"714",9
"715",12
"716",6
"717",9
"718",9
"719",15
"720",1
"721",2
"722",10
"723",1
"724",14
"725",4
"726",15
"727",15
"728",6
"729",15
"730",1
"731",14
"732",13
"733",7
"734",1
"735",1
"736",12
"737",10
"738",6
"739",1
"740",8
"741",3
"742",7
"743",9
"744",6
"745",9
"746",12
"747",12
"748",12
"749",12
"750",12
"751",1
"752",6
"753",5
"754",15
"755",12
"756",8
"757",8
"758",12
"759",12
"760",15
"761",12
"762",12
"763",1
"764",10
"765",10
"766",8
"767",5
"768",7
"769",3
"770",8
"771",3
"772",9
"773",6
"774",6
"775",1
"776",5
"777",6
"778",6
"779",9
"780",8
"781",10
"782",2
"783",9
"784",13
"785",8
"786",2
"787",12
"788",12
"789",11
"790",12
"791",10
"792",6
"793",9
"794",14
"795",8
"796",2
"797",12
"798",11
"799",13
"800",1
"801",15
"802",15
"803",8
"804",8
"805",11
"806",2
"807",13
"808",8
"809",12
"810",8
"811",9
"812",6
"813",3
"814",3
"815",8
"816",8
"817",1
"818",8
"819",2
"820",15
"821",3
"822",8
"823",15
"824",8
"825",12
"826",11
"827",4
"828",5
"829",6
"830",4
"831",10
"832",11
"833",1
"834",13
"835",11
"836",12
"837",5
"838",3
"839",13
"840",12
"841",9
"842",4
"843",14
"844",13
"845",6
"846",7
"847",15
"848",10
"849",12
"850",14
"851",2
"852",9
"853",8
"854",14
"855",7
"856",10
"857",6
"858",12
"859",12
"860",12
"861",12
"862",3
"863",3
"864",15
"865",12
