V1,V2,V3,V4
37.0,0.7274530751654881,27.0,0.20461525692117966
10.0,17.0,11.0,20.0
25.0,14.0,21.0,13.0
16.0,0.5103813013758307,13.0,0.0726388893237796
109.0,63.0,72.0,46.0
61.0,50.0,37.0,44.0
18.0,21.0,8.0,10.0
2.0,47.0,2.0,43.0
30.0,27.0,33.0,28.0
133.0,163.0,99.0,103.0
114.0,12.0,104.0,15.0
63.0,0.13142380558408695,51.0,1.0
139.0,152.0,97.0,105.0
26.0,0.6285550612138108,29.0,0.864867776148449
87.0,93.0,69.0,61.0
83.0,118.0,53.0,90.0
136.0,94.0,105.0,70.0
44.0,34.0,29.0,24.0
386.0,82.0,300.0,73.0
403.0,503.0,344.0,374.0
48.0,0.710854366148199,31.0,0.37342792914041656
224.0,90.0,141.0,69.0
103.0,64.0,88.0,35.0
47.0,34.0,32.0,21.0
35.0,70.0,34.0,46.0
4.0,88.0,6.0,71.0
272.0,381.0,221.0,270.0
20.0,0.9740389544628518,22.0,0.5471713056013341
0.33731220400277173,206.0,0.00670243772520096,154.0
64.0,27.0,58.0,24.0
9.0,1.0,10.0,1.0
240.0,130.0,165.0,100.0
11.0,39.0,9.0,37.0
21.0,45.0,24.0,46.0
18.0,0.7309104206234118,20.0,0.9480970739315894
20.0,68.0,19.0,62.0
20.0,0.8456434339623872,18.0,0.615449068958068
78.0,13.0,66.0,5.0
196.0,167.0,159.0,125.0
68.0,100.0,52.0,93.0
22.0,0.6342896251453405,18.0,0.21857849652743344
31.0,24.0,24.0,27.0
158.0,100.0,125.0,72.0
79.0,0.7241336790588176,69.0,1.0
224.0,386.0,171.0,302.0
85.0,45.0,56.0,36.0
171.0,308.0,154.0,255.0
22.0,12.0,12.0,5.0
973.0,944.0,786.0,690.0
20.0,54.0,15.0,41.0
71.0,0.14610898159644792,61.0,0.34749571026505965
2.0,661.0,4.0,502.0
10.0,11.0,11.0,6.0
225.0,162.0,189.0,136.0
104.0,100.0,79.0,95.0
25.0,12.0,12.0,10.0
7.0,59.0,6.0,47.0
81.0,105.0,74.0,88.0
11.0,4.0,11.0,6.0
9.0,3.0,4.0,0.7859976014776983
40.0,2.0,36.0,0.3326826570726521
28.0,0.39294036043427405,16.0,1.0
19.0,0.36040954943694803,13.0,0.6594225056755249
48.0,51.0,27.0,28.0
11.0,65.0,8.0,62.0
30.0,1.0,23.0,0.809985719964929
35.0,4.0,23.0,1.0
48.0,0.4169534489625063,47.0,2.0
95.0,30.0,72.0,23.0
65.0,44.0,45.0,37.0
45.0,49.0,30.0,42.0
40.0,20.0,23.0,14.0
143.0,165.0,119.0,110.0
18.0,22.0,26.0,18.0
44.0,0.4952056419991758,26.0,2.0
491.0,707.0,408.0,500.0
19.0,20.0,19.0,6.0
49.0,29.0,31.0,23.0
19.0,7.0,16.0,3.0
17.0,10.0,7.0,10.0
97.0,0.7315601567449475,84.0,0.8482476138675895
17.0,19.0,8.0,21.0
80.0,6.0,50.0,3.0
250.0,170.0,170.0,136.0
721.0,681.0,599.0,505.0
12.0,0.9880187311728099,15.0,0.04203881477037952
247.0,142.0,171.0,115.0
85.0,88.0,74.0,60.0
49.0,81.0,36.0,59.0
16.0,25.0,13.0,18.0
2.0,22.0,4.0,26.0
55.0,53.0,58.0,66.0
1.0,1273.0,2.0,925.0
26.0,9.0,22.0,5.0
18.0,34.0,23.0,29.0
196.0,3.0,167.0,4.0
226.0,175.0,159.0,138.0
111.0,101.0,105.0,51.0
23.0,1.0,27.0,1.0
248.0,230.0,228.0,162.0
593.0,425.0,477.0,332.0
8.0,18.0,4.0,8.0
20.0,11.0,14.0,8.0
105.0,63.0,95.0,56.0
35.0,16.0,18.0,14.0
69.0,1.0,49.0,0.32908637430610277
238.0,298.0,199.0,235.0
70.0,108.0,53.0,87.0
279.0,255.0,222.0,168.0
12.0,0.03685693724185657,2.0,0.3830666008714867
19.0,0.35393877363320436,21.0,1.0
11.0,27.0,5.0,22.0
20.0,0.24419362369880715,14.0,0.24046204720285247
66.0,0.7968036474018256,46.0,0.4503467053963931
1.0,624.0,3.0,481.0
9.0,6.0,10.0,13.0
54.0,26.0,49.0,19.0
86.0,48.0,64.0,38.0
29.0,8.0,24.0,7.0
36.0,50.0,32.0,44.0
109.0,145.0,83.0,93.0
32.0,0.05485998270682413,18.0,0.213353427717911
364.0,292.0,310.0,235.0
15.0,9.0,12.0,9.0
17.0,14.0,11.0,6.0
144.0,162.0,98.0,125.0
222.0,167.0,181.0,129.0
16.0,16.0,24.0,5.0
0.41903115986549644,192.0,1.0,154.0
143.0,273.0,110.0,215.0
14.0,13.0,11.0,11.0
33.0,17.0,21.0,12.0
29.0,48.0,25.0,34.0
144.0,151.0,146.0,124.0
22.0,16.0,15.0,10.0
41.0,26.0,54.0,20.0
17.0,1.0,18.0,0.8724224046894963
174.0,156.0,126.0,114.0
21.0,13.0,11.0,11.0
9.0,3.0,11.0,2.0
11.0,6.0,17.0,7.0
110.0,81.0,88.0,62.0
1.0,391.0,1.0,320.0
122.0,116.0,76.0,93.0
13.0,14.0,11.0,5.0
92.0,210.0,107.0,209.0
383.0,84.0,293.0,77.0
37.0,22.0,28.0,12.0
380.0,249.0,319.0,159.0
22.0,13.0,13.0,8.0
119.0,130.0,97.0,111.0
148.0,226.0,116.0,193.0
39.0,31.0,24.0,18.0
115.0,125.0,78.0,107.0
26.0,25.0,12.0,24.0
51.0,7.0,33.0,5.0
469.0,66.0,392.0,45.0
131.0,130.0,99.0,102.0
18.0,0.8865376381685373,13.0,0.32796643747796794
70.0,179.0,63.0,124.0
90.0,251.0,88.0,198.0
12.0,20.0,15.0,13.0
55.0,80.0,52.0,46.0
1.0,86.0,0.9256048006254355,76.0
24.0,0.028321957020639332,11.0,0.44932182113488306
20.0,7.0,15.0,4.0
25.0,14.0,18.0,7.0
77.0,66.0,62.0,33.0
13.0,8.0,14.0,3.0
473.0,548.0,356.0,421.0
99.0,22.0,82.0,20.0
102.0,69.0,101.0,70.0
23.0,1.0,11.0,0.8759137626860084
18.0,1.0,16.0,1.0
45.0,15.0,30.0,16.0
160.0,152.0,127.0,136.0
67.0,98.0,47.0,93.0
15.0,2.0,23.0,2.0
49.0,44.0,33.0,29.0
111.0,95.0,93.0,49.0
22.0,8.0,20.0,7.0
15.0,0.2098316587002519,15.0,0.584149990267196
1336.0,369.0,1052.0,262.0
1079.0,0.10414191292909003,842.0,3.0
30.0,121.0,20.0,73.0
21.0,9.0,17.0,8.0
10.0,11.0,10.0,6.0
12.0,0.9035451864983883,11.0,0.0482479446228975
52.0,40.0,42.0,18.0
43.0,0.2814705383140399,38.0,0.6451967901951212
22.0,14.0,14.0,8.0
187.0,76.0,150.0,58.0
0.8240919729331794,23.0,0.4938238869559607,26.0
1.0,19.0,0.8886045263894428,15.0
14.0,16.0,15.0,20.0
38.0,0.24556204235269508,35.0,0.9936711855959743
38.0,0.9304989069372633,39.0,0.3446240227032743
8.0,19.0,10.0,6.0
16.0,1.0,13.0,4.0
28.0,0.12065864318190533,35.0,0.597294924162149
47.0,8.0,42.0,2.0
50.0,22.0,42.0,24.0
2.0,5.0,4.0,8.0
19.0,37.0,23.0,22.0
61.0,55.0,36.0,59.0
167.0,64.0,136.0,25.0
5.0,23.0,3.0,17.0
100.0,36.0,99.0,16.0
155.0,51.0,99.0,34.0
204.0,216.0,160.0,166.0
32.0,56.0,13.0,45.0
101.0,476.0,85.0,354.0
17.0,4.0,13.0,0.6531349825109439
83.0,55.0,68.0,51.0
48.0,0.9452052146257038,33.0,0.5835882937114839
24.0,71.0,11.0,54.0
22.0,18.0,16.0,18.0
152.0,0.4546533690048191,111.0,0.9043456713458166
41.0,81.0,42.0,55.0
98.0,42.0,95.0,35.0
534.0,0.7566461783133687,431.0,0.8124155815864004
5.0,19.0,6.0,18.0
113.0,0.5493417340033557,83.0,0.3137296311666413
46.0,15.0,27.0,15.0
24.0,13.0,11.0,18.0
16.0,15.0,14.0,16.0
237.0,176.0,172.0,136.0
32.0,21.0,18.0,14.0
56.0,70.0,51.0,55.0
19.0,7.0,9.0,6.0
8.0,129.0,4.0,94.0
57.0,26.0,40.0,22.0
31.0,0.11700149477976729,25.0,0.8167910965196653
37.0,24.0,19.0,19.0
34.0,0.32405268536807064,24.0,0.12200191364918922
10.0,18.0,12.0,15.0
103.0,103.0,78.0,72.0
308.0,229.0,222.0,157.0
86.0,142.0,79.0,100.0
45.0,37.0,32.0,28.0
41.0,88.0,38.0,73.0
66.0,73.0,52.0,51.0
