"","V1","V2","V3","V4"
"1",37,0,27,0
"2",10,17,11,20
"3",25,14,21,13
"4",16,0,13,0
"5",109,63,72,46
"6",61,50,37,44
"7",18,21,8,10
"8",2,47,2,43
"9",30,27,33,28
"10",133,163,99,103
"11",114,12,104,15
"12",63,0,51,1
"13",139,152,97,105
"14",26,0,29,0
"15",87,93,69,61
"16",83,118,53,90
"17",136,94,105,70
"18",44,34,29,24
"19",386,82,300,73
"20",403,503,344,374
"21",48,0,31,0
"22",224,90,141,69
"23",103,64,88,35
"24",47,34,32,21
"25",35,70,34,46
"26",4,88,6,71
"27",272,381,221,270
"28",20,0,22,0
"29",0,206,0,154
"30",64,27,58,24
"31",9,1,10,1
"32",240,130,165,100
"33",11,39,9,37
"34",21,45,24,46
"35",18,0,20,0
"36",20,68,19,62
"37",20,0,18,0
"38",78,13,66,5
"39",196,167,159,125
"40",68,100,52,93
"41",22,0,18,0
"42",31,24,24,27
"43",158,100,125,72
"44",79,0,69,1
"45",224,386,171,302
"46",85,45,56,36
"47",171,308,154,255
"48",22,12,12,5
"49",973,944,786,690
"50",20,54,15,41
"51",71,0,61,0
"52",2,661,4,502
"53",10,11,11,6
"54",225,162,189,136
"55",104,100,79,95
"56",25,12,12,10
"57",7,59,6,47
"58",81,105,74,88
"59",11,4,11,6
"60",9,3,4,0
"61",40,2,36,0
"62",28,0,16,1
"63",19,0,13,0
"64",48,51,27,28
"65",11,65,8,62
"66",30,1,23,0
"67",35,4,23,1
"68",48,0,47,2
"69",95,30,72,23
"70",65,44,45,37
"71",45,49,30,42
"72",40,20,23,14
"73",143,165,119,110
"74",18,22,26,18
"75",44,0,26,2
"76",491,707,408,500
"77",19,20,19,6
"78",49,29,31,23
"79",19,7,16,3
"80",17,10,7,10
"81",97,0,84,0
"82",17,19,8,21
"83",80,6,50,3
"84",250,170,170,136
"85",721,681,599,505
"86",12,0,15,0
"87",247,142,171,115
"88",85,88,74,60
"89",49,81,36,59
"90",16,25,13,18
"91",2,22,4,26
"92",55,53,58,66
"93",1,1273,2,925
"94",26,9,22,5
"95",18,34,23,29
"96",196,3,167,4
"97",226,175,159,138
"98",111,101,105,51
"99",23,1,27,1
"100",248,230,228,162
"101",593,425,477,332
"102",8,18,4,8
"103",20,11,14,8
"104",105,63,95,56
"105",35,16,18,14
"106",69,1,49,0
"107",238,298,199,235
"108",70,108,53,87
"109",279,255,222,168
"110",12,0,2,0
"111",19,0,21,1
"112",11,27,5,22
"113",20,0,14,0
"114",66,0,46,0
"115",1,624,3,481
"116",9,6,10,13
"117",54,26,49,19
"118",86,48,64,38
"119",29,8,24,7
"120",36,50,32,44
"121",109,145,83,93
"122",32,0,18,0
"123",364,292,310,235
"124",15,9,12,9
"125",17,14,11,6
"126",144,162,98,125
"127",222,167,181,129
"128",16,16,24,5
"129",0,192,1,154
