"gene","label"
"ENSG00000000003",6
"ENSG00000000419",6
"ENSG00000000457",7
"ENSG00000000460",8
"ENSG00000001036",8
"ENSG00000001084",6
"ENSG00000001167",5
"ENSG00000001460",3
"ENSG00000001461",9
"ENSG00000001497",3
"ENSG00000001561",9
"ENSG00000001617",6
"ENSG00000001629",12
"ENSG00000001630",14
"ENSG00000001631",14
"ENSG00000002016",8
"ENSG00000002330",9
"ENSG00000002549",8
"ENSG00000002586",4
"ENSG00000002587",7
"ENSG00000002822",9
"ENSG00000002834",10
"ENSG00000002919",9
"ENSG00000003056",15
"ENSG00000003096",1
"ENSG00000003137",7
"ENSG00000003147",9
"ENSG00000003249",8
"ENSG00000003393",9
"ENSG00000003400",15
"ENSG00000003402",3
"ENSG00000003436",7
"ENSG00000003509",12
"ENSG00000003756",6
"ENSG00000003989",3
"ENSG00000004059",15
"ENSG00000004139",9
"ENSG00000004142",9
"ENSG00000004399",15
"ENSG00000004455",4
"ENSG00000004478",9
"ENSG00000004487",6
"ENSG00000004534",6
"ENSG00000004660",6
"ENSG00000004700",2
"ENSG00000004766",7
"ENSG00000004777",8
"ENSG00000004779",6
"ENSG00000004838",9
"ENSG00000004864",4
"ENSG00000004866",9
"ENSG00000004897",4
"ENSG00000004961",8
"ENSG00000004975",14
"ENSG00000005001",7
"ENSG00000005007",11
"ENSG00000005020",8
"ENSG00000005022",2
"ENSG00000005059",7
"ENSG00000005073",7
"ENSG00000005075",3
"ENSG00000005100",8
"ENSG00000005156",9
"ENSG00000005175",9
"ENSG00000005187",3
"ENSG00000005189",1
"ENSG00000005194",8
"ENSG00000005206",3
"ENSG00000005238",6
"ENSG00000005249",5
"ENSG00000005302",9
"ENSG00000005339",6
"ENSG00000005379",7
"ENSG00000005436",6
"ENSG00000005448",14
"ENSG00000005469",7
"ENSG00000005471",15
"ENSG00000005483",15
"ENSG00000005486",7
"ENSG00000005513",8
"ENSG00000005700",9
"ENSG00000005801",8
"ENSG00000005810",3
"ENSG00000005812",3
"ENSG00000005882",7
"ENSG00000005884",6
"ENSG00000005889",6
"ENSG00000005893",8
"ENSG00000005961",15
"ENSG00000006007",11
"ENSG00000006015",7
"ENSG00000006025",9
"ENSG00000006042",7
"ENSG00000006047",7
"ENSG00000006062",4
"ENSG00000006071",15
"ENSG00000006118",6
"ENSG00000006125",8
"ENSG00000006194",8
"ENSG00000006282",8
"ENSG00000006283",7
"ENSG00000006327",6
"ENSG00000006432",8
"ENSG00000006451",12
"ENSG00000006453",9
"ENSG00000006459",9
"ENSG00000006468",5
"ENSG00000006530",4
"ENSG00000006534",15
"ENSG00000006576",4
"ENSG00000006607",9
"ENSG00000006625",4
"ENSG00000006634",4
"ENSG00000006652",10
"ENSG00000006695",9
"ENSG00000006704",9
"ENSG00000006712",15
"ENSG00000006715",8
"ENSG00000006740",9
"ENSG00000006744",9
"ENSG00000006747",6
"ENSG00000006756",6
"ENSG00000006757",4
"ENSG00000006831",6
"ENSG00000006837",6
"ENSG00000007047",3
"ENSG00000007080",7
"ENSG00000007168",4
"ENSG00000007174",1
"ENSG00000007202",15
"ENSG00000007255",9
"ENSG00000007341",6
"ENSG00000007376",14
"ENSG00000007384",4
"ENSG00000007392",8
"ENSG00000007402",6
"ENSG00000007516",9
"ENSG00000007520",3
"ENSG00000007541",8
"ENSG00000007545",10
"ENSG00000007866",9
"ENSG00000007923",9
"ENSG00000007944",10
"ENSG00000007952",5
"ENSG00000007968",6
"ENSG00000008018",7
"ENSG00000008083",6
"ENSG00000008086",9
"ENSG00000008128",4
"ENSG00000008130",6
"ENSG00000008256",4
"ENSG00000008277",9
"ENSG00000008282",6
"ENSG00000008283",9
"ENSG00000008294",9
"ENSG00000008300",9
"ENSG00000008311",15
"ENSG00000008323",4
"ENSG00000008324",6
"ENSG00000008382",15
"ENSG00000008394",9
"ENSG00000008405",9
"ENSG00000008441",6
"ENSG00000008513",6
"ENSG00000008517",7
"ENSG00000008710",14
"ENSG00000008735",3
