"","SRX008333","SRX008334","SRX008331","SRX008332"
"ENSG00000000003",0,0,35,36
"ENSG00000000419",16,20,9,15
"ENSG00000000457",10,13,28,27
"ENSG00000001036",0,0,19,17
"ENSG00000001167",64,56,97,103
"ENSG00000001561",41,42,40,64
"ENSG00000002330",11,13,16,12
"ENSG00000002834",49,33,2,6
"ENSG00000002919",20,21,29,32
"ENSG00000003056",122,118,137,114
"ENSG00000003249",9,12,112,112
"ENSG00000003989",2,0,56,68
"ENSG00000004478",112,97,150,148
"ENSG00000004660",0,0,39,30
"ENSG00000004700",75,68,54,73
"ENSG00000004779",99,82,83,74
"ENSG00000004897",68,75,129,151
"ENSG00000004961",35,20,55,28
"ENSG00000004975",96,87,342,359
"ENSG00000005007",411,427,396,358
"ENSG00000005073",0,0,47,44
"ENSG00000005100",57,71,216,229
"ENSG00000005175",51,53,87,114
"ENSG00000005189",15,27,35,44
"ENSG00000005206",47,69,39,35
"ENSG00000005249",78,63,1,10
"ENSG00000005339",363,260,284,263
"ENSG00000005513",0,0,24,16
"ENSG00000005844",148,170,0,0
"ENSG00000005893",22,19,62,61
"ENSG00000005961",2,0,15,15
"ENSG00000006007",110,100,213,240
"ENSG00000006015",35,28,10,10
"ENSG00000006025",42,52,25,23
"ENSG00000006042",0,0,21,11
"ENSG00000006062",79,54,13,23
"ENSG00000006071",1,0,27,13
"ENSG00000006118",4,6,99,89
"ENSG00000006125",143,109,208,186
"ENSG00000006194",73,88,57,82
"ENSG00000006327",0,1,26,21
"ENSG00000006432",23,26,36,35
"ENSG00000006712",87,65,151,151
"ENSG00000006740",3,2,91,76
"ENSG00000006831",281,266,213,238
"ENSG00000007047",19,41,73,66
"ENSG00000007080",282,181,196,170
"ENSG00000007168",10,6,24,31
"ENSG00000007202",756,646,1011,949
"ENSG00000007255",50,36,19,23
"ENSG00000007264",1,0,77,48
"ENSG00000007312",509,484,0,0
"ENSG00000007314",9,16,10,13
"ENSG00000007376",146,120,231,202
"ENSG00000007520",92,86,110,116
"ENSG00000007944",13,11,20,15
"ENSG00000007968",68,35,7,6
"ENSG00000008018",84,67,86,80
"ENSG00000008083",8,7,14,7
"ENSG00000008086",3,0,3,14
"ENSG00000008283",1,0,32,41
"ENSG00000008300",1,1,27,31
"ENSG00000008311",0,0,15,14
"ENSG00000008382",42,35,39,41
"ENSG00000008394",63,61,9,11
"ENSG00000008405",0,0,34,30
"ENSG00000008441",1,3,35,39
"ENSG00000008735",2,0,47,53
"ENSG00000009830",13,22,102,90
"ENSG00000009844",38,45,58,69
"ENSG00000009954",45,40,40,35
"ENSG00000010219",15,11,46,31
"ENSG00000010244",129,120,148,155
"ENSG00000010270",20,16,26,34
"ENSG00000010278",0,1,31,36
"ENSG00000010292",565,502,524,497
"ENSG00000010295",15,15,19,15
"ENSG00000010361",23,17,46,52
"ENSG00000010539",5,7,18,22
"ENSG00000011007",7,4,26,21
"ENSG00000011028",0,0,96,81
"ENSG00000011132",25,17,11,7
"ENSG00000011143",4,5,62,74
"ENSG00000011243",146,132,249,230
"ENSG00000011304",597,516,701,702
"ENSG00000011347",0,0,17,13
"ENSG00000011405",104,108,258,250
"ENSG00000011451",65,72,96,87
"ENSG00000011478",57,51,39,35
"ENSG00000011523",19,13,19,10
"ENSG00000011638",19,18,12,0
"ENSG00000012061",58,41,71,59
"ENSG00000012124",1035,972,1,1
"ENSG00000012174",5,6,30,34
"ENSG00000012660",23,30,29,22
"ENSG00000012822",4,3,195,194
"ENSG00000012963",150,139,197,213
"ENSG00000012983",77,67,110,123
"ENSG00000013016",1,1,34,33
"ENSG00000013275",184,193,235,258
"ENSG00000013306",346,368,596,546
"ENSG00000013364",12,10,2,6
"ENSG00000013392",8,7,19,14
"ENSG00000013503",60,58,119,106
"ENSG00000013523",12,15,28,16
"ENSG00000013583",0,0,61,74
"ENSG00000014138",219,201,267,273
"ENSG00000014164",79,91,72,75
"ENSG00000014216",237,204,275,238
"ENSG00000016391",0,0,19,13
"ENSG00000017373",1,0,15,24
"ENSG00000017797",17,24,7,13
"ENSG00000018236",0,0,21,16
"ENSG00000019549",0,0,57,68
"ENSG00000019582",517,457,0,0
"ENSG00000019995",10,7,9,14
"ENSG00000020426",19,27,47,47
"ENSG00000020922",25,31,78,72
"ENSG00000021300",3,5,27,31
"ENSG00000021574",48,43,34,30
"ENSG00000021776",111,102,123,106
"ENSG00000022267",0,0,31,23
"ENSG00000022840",270,223,372,349
"ENSG00000022976",10,10,11,16
"ENSG00000023041",9,10,12,16
"ENSG00000023191",129,126,134,134
"ENSG00000023318",145,139,202,259
"ENSG00000023330",12,8,29,34
"ENSG00000023445",162,145,0,1
"ENSG00000023516",205,220,144,159
"ENSG00000023572",10,11,15,11
"ENSG00000023608",10,14,23,35
"ENSG00000023697",32,39,27,23
"ENSG00000023734",120,116,142,167
"ENSG00000024048",11,15,25,17
"ENSG00000024862",17,18,49,35
"ENSG00000025156",2,1,14,11
"ENSG00000025772",143,119,157,157
"ENSG00000025800",9,16,11,18
"ENSG00000027075",2,3,16,11
"ENSG00000027697",5,4,20,18
"ENSG00000028203",64,60,95,122
"ENSG00000028277",364,281,2,1
"ENSG00000028528",102,82,101,94
"ENSG00000029153",10,6,24,13
"ENSG00000029364",232,164,115,97
"ENSG00000029725",88,81,351,346
"ENSG00000030066",12,26,34,32
"ENSG00000030582",179,137,385,396
"ENSG00000031691",11,15,19,23
"ENSG00000031823",100,116,122,112
"ENSG00000032444",184,197,130,117
"ENSG00000033011",28,24,37,37
"ENSG00000033030",113,93,98,114
"ENSG00000033170",30,22,20,20
"ENSG00000033327",4,5,52,34
"ENSG00000033627",63,57,456,487
"ENSG00000033800",105,78,110,136
"ENSG00000034053",0,0,21,10
"ENSG00000034063",158,121,95,66
"ENSG00000034510",244,188,97,102
"ENSG00000034693",12,21,23,19
"ENSG00000034713",51,46,61,76
"ENSG00000035720",83,66,0,0
"ENSG00000035862",0,0,14,24
"ENSG00000036672",7,3,29,18
"ENSG00000037042",12,10,25,18
"ENSG00000037757",40,29,84,85
"ENSG00000037897",6,8,14,23
"ENSG00000038358",438,430,458,421
"ENSG00000039523",12,17,91,99
"ENSG00000039650",62,59,118,101
"ENSG00000040487",0,1,18,15
"ENSG00000040531",2,0,16,28
"ENSG00000040633",15,9,46,39
"ENSG00000041357",130,108,137,182
"ENSG00000042088",104,76,65,63
"ENSG00000042317",0,3,17,20
"ENSG00000042429",33,32,42,61
"ENSG00000042753",90,52,111,107
"ENSG00000044090",7,9,21,24
"ENSG00000044524",0,0,19,12
"ENSG00000044574",305,316,1387,1215
"ENSG00000046604",0,0,1100,1078
"ENSG00000047346",77,108,20,35
"ENSG00000047578",13,6,18,17
"ENSG00000047579",12,17,8,10
"ENSG00000047597",0,0,18,10
"ENSG00000047621",23,26,52,40
"ENSG00000047634",0,0,33,47
"ENSG00000047932",14,13,33,24
"ENSG00000048028",67,64,181,191
"ENSG00000048462",27,19,0,0
"ENSG00000048540",13,21,0,1
"ENSG00000048544",14,18,11,9
"ENSG00000048740",0,0,40,44
"ENSG00000049130",0,0,43,45
"ENSG00000049239",9,16,8,11
"ENSG00000049245",6,2,16,15
"ENSG00000049449",0,0,29,37
"ENSG00000049759",5,3,34,54
"ENSG00000050130",15,21,38,50
"ENSG00000050344",3,11,5,7
"ENSG00000050393",24,35,30,18
"ENSG00000050405",60,40,59,44
"ENSG00000050426",47,24,144,174
"ENSG00000050438",18,18,3,4
"ENSG00000050820",19,18,142,104
"ENSG00000051009",40,53,130,122
"ENSG00000051108",181,162,221,198
"ENSG00000051180",59,44,27,25
"ENSG00000051523",381,313,122,115
"ENSG00000051620",1,1,21,13
"ENSG00000051825",52,38,81,71
"ENSG00000052850",0,0,41,38
"ENSG00000053254",63,53,19,19
"ENSG00000053501",18,11,23,28
"ENSG00000053747",1,1,148,122
"ENSG00000053770",48,71,53,50
"ENSG00000054148",34,38,107,91
"ENSG00000054598",0,1,580,501
"ENSG00000054611",14,15,6,9
"ENSG00000054690",1,0,117,123
"ENSG00000054965",11,11,37,42
"ENSG00000054967",16,20,22,16
"ENSG00000055070",13,13,12,17
"ENSG00000055130",164,125,220,235
"ENSG00000055211",14,14,27,33
"ENSG00000055483",53,57,61,59
"ENSG00000056277",4,4,14,10
"ENSG00000056558",85,126,4,12
"ENSG00000056661",24,19,46,75
"ENSG00000056736",0,0,24,31
"ENSG00000057252",19,10,38,26
"ENSG00000057294",0,0,32,27
"ENSG00000057704",16,18,8,17
"ENSG00000058272",76,75,78,120
"ENSG00000058600",152,182,337,265
"ENSG00000058804",120,112,83,75
"ENSG00000059122",43,22,49,47
"ENSG00000059758",66,74,43,39
"ENSG00000060069",49,43,78,56
"ENSG00000060138",121,145,190,173
"ENSG00000060749",101,93,130,130
"ENSG00000060762",25,22,43,40
"ENSG00000060982",733,709,165,153
"ENSG00000061794",88,96,99,130
"ENSG00000061918",5,2,51,44
"ENSG00000061936",179,203,212,185
"ENSG00000061987",16,14,46,36
"ENSG00000062282",17,23,12,8
"ENSG00000062485",92,68,109,136
"ENSG00000062582",20,7,30,20
"ENSG00000062716",59,51,196,167
"ENSG00000062725",49,37,167,164
"ENSG00000062822",413,393,470,537
"ENSG00000063046",29,24,54,48
"ENSG00000063169",75,77,51,48
"ENSG00000063176",11,16,10,12
"ENSG00000063177",165,154,327,319
"ENSG00000063180",7,2,40,39
"ENSG00000063241",162,105,78,79
"ENSG00000063244",890,955,1116,1070
"ENSG00000063245",463,378,329,304
"ENSG00000063322",23,35,63,56
"ENSG00000063587",25,17,50,48
"ENSG00000063854",33,19,86,75
"ENSG00000064102",37,26,26,26
"ENSG00000064115",78,74,146,136
"ENSG00000064199",1,1,15,8
"ENSG00000064309",0,1,45,42
"ENSG00000064393",0,0,66,78
"ENSG00000064419",215,216,215,236
"ENSG00000064490",78,59,29,31
"ENSG00000064545",60,46,214,186
"ENSG00000064607",200,284,243,240
"ENSG00000064666",150,101,19,14
"ENSG00000064687",106,129,139,124
"ENSG00000064703",71,55,120,100
"ENSG00000064726",327,310,279,299
"ENSG00000064763",3,2,38,37
"ENSG00000064995",23,36,38,45
"ENSG00000064999",12,9,22,16
"ENSG00000065000",440,378,809,748
"ENSG00000065054",0,1,72,53
"ENSG00000065057",41,46,50,35
"ENSG00000065060",123,108,118,98
"ENSG00000065135",110,115,232,267
"ENSG00000065268",224,157,151,134
"ENSG00000065308",353,300,67,55
"ENSG00000065427",193,121,170,180
"ENSG00000065457",27,39,68,54
"ENSG00000065491",56,44,68,74
"ENSG00000065559",8,6,42,59
"ENSG00000065613",12,4,30,35
"ENSG00000065675",24,19,1,6
"ENSG00000065833",0,0,55,28
"ENSG00000065970",3,5,36,42
"ENSG00000065989",33,26,2,1
"ENSG00000066044",347,302,278,253
"ENSG00000066084",24,17,29,33
"ENSG00000066117",388,307,601,617
"ENSG00000066279",32,40,31,29
"ENSG00000066336",193,148,0,1
"ENSG00000066379",13,22,22,22
"ENSG00000066455",27,24,82,118
"ENSG00000066557",50,43,134,125
"ENSG00000066583",14,22,40,27
"ENSG00000066629",0,0,42,32
"ENSG00000066654",21,32,39,35
"ENSG00000066735",0,0,29,20
"ENSG00000066926",41,44,101,108
"ENSG00000066933",57,37,132,134
"ENSG00000067064",29,24,12,33
"ENSG00000067141",2,3,257,212
"ENSG00000067167",36,32,76,59
"ENSG00000067177",0,0,147,161
"ENSG00000067182",44,20,32,38
"ENSG00000067221",6,7,18,16
"ENSG00000067225",889,706,695,623
"ENSG00000067365",18,23,45,38
"ENSG00000067533",12,10,25,21
"ENSG00000067596",102,104,318,287
"ENSG00000067836",47,70,71,56
"ENSG00000067900",221,216,209,258
"ENSG00000067955",202,172,59,55
"ENSG00000068079",17,14,4,2
"ENSG00000068097",11,14,182,189
"ENSG00000068120",32,29,43,51
"ENSG00000068137",148,146,42,35
"ENSG00000068305",83,70,176,164
"ENSG00000068308",36,28,36,46
"ENSG00000068394",40,37,76,73
"ENSG00000068489",107,75,85,73
"ENSG00000068697",7,16,59,33
"ENSG00000068793",0,1,196,199
"ENSG00000068912",17,21,21,23
"ENSG00000068971",11,6,25,31
"ENSG00000069011",17,21,10,9
"ENSG00000069329",239,202,236,257
"ENSG00000069345",129,122,149,154
"ENSG00000069482",0,0,56,53
"ENSG00000069509",3,5,12,24
"ENSG00000069943",18,15,10,10
"ENSG00000069956",10,15,18,15
"ENSG00000069966",95,89,26,31
"ENSG00000069974",32,27,11,7
"ENSG00000070018",0,0,152,175
"ENSG00000070047",215,172,218,195
"ENSG00000070061",7,6,46,40
"ENSG00000070081",41,33,169,186
"ENSG00000070087",3,7,30,28
"ENSG00000070214",502,421,69,82
"ENSG00000070269",26,39,48,33
"ENSG00000070366",23,18,131,90
"ENSG00000070367",26,25,38,32
"ENSG00000070404",14,8,26,16
"ENSG00000070423",110,114,102,84
"ENSG00000070444",39,38,77,56
"ENSG00000070495",27,28,31,28
"ENSG00000070540",23,16,29,26
"ENSG00000070761",89,86,153,133
"ENSG00000070770",113,82,147,147
"ENSG00000070778",0,0,66,48
"ENSG00000070961",163,170,179,177
"ENSG00000071051",10,11,22,23
"ENSG00000071246",0,0,43,26
"ENSG00000071537",67,51,45,38
"ENSG00000071564",1995,1745,184,154
"ENSG00000071626",665,526,371,320
"ENSG00000071655",286,253,350,334
"ENSG00000071894",388,375,451,442
"ENSG00000071994",20,26,29,32
"ENSG00000072041",0,0,51,62
"ENSG00000072042",43,44,157,136
"ENSG00000072062",106,87,121,98
"ENSG00000072071",21,26,114,112
"ENSG00000072110",0,0,227,181
"ENSG00000072121",14,11,37,45
"ENSG00000072401",14,7,8,6
"ENSG00000072415",60,40,74,83
"ENSG00000072506",60,44,35,29
"ENSG00000072609",58,43,42,57
"ENSG00000072736",146,126,63,89
"ENSG00000072778",46,56,313,326
"ENSG00000072818",102,87,3,2
"ENSG00000072849",18,15,63,54
"ENSG00000072864",58,46,22,25
"ENSG00000072954",55,42,3,11
"ENSG00000072958",113,89,154,164
"ENSG00000073008",0,0,59,69
"ENSG00000073050",148,139,271,249
"ENSG00000073060",316,259,162,156
"ENSG00000073169",89,75,70,41
"ENSG00000073350",16,13,24,26
"ENSG00000073417",38,37,72,70
"ENSG00000073536",15,12,34,31
"ENSG00000073598",15,13,8,20
"ENSG00000073614",90,87,164,157
"ENSG00000073670",3,0,65,60
"ENSG00000073712",0,0,150,131
"ENSG00000073921",140,109,213,201
"ENSG00000074071",418,402,310,254
"ENSG00000074181",3,0,146,123
"ENSG00000074201",77,77,198,203
"ENSG00000074219",2,5,76,58
"ENSG00000074266",20,19,28,20
"ENSG00000074319",22,19,32,59
"ENSG00000074356",37,22,192,169
"ENSG00000074370",397,361,5,11
"ENSG00000074527",1,0,14,2
"ENSG00000074603",31,47,42,49
"ENSG00000074621",8,13,42,39
"ENSG00000074695",90,86,412,450
"ENSG00000074696",78,77,261,252
"ENSG00000074842",117,75,221,174
"ENSG00000074855",18,29,54,46
"ENSG00000075188",35,45,34,37
"ENSG00000075239",36,55,127,140
"ENSG00000075336",30,28,46,42
"ENSG00000075399",39,33,40,59
"ENSG00000075413",154,144,192,210
"ENSG00000075415",519,416,756,920
"ENSG00000075643",0,0,39,52
"ENSG00000075702",64,80,56,59
"ENSG00000075785",24,34,44,36
"ENSG00000075856",190,153,179,172
"ENSG00000075975",65,76,154,169
"ENSG00000076043",95,83,66,76
"ENSG00000076067",0,1,15,8
"ENSG00000076108",592,519,745,657
"ENSG00000076248",95,70,180,192
"ENSG00000076351",12,8,59,66
"ENSG00000076382",299,292,353,335
"ENSG00000076513",437,452,110,88
"ENSG00000076555",38,40,49,57
"ENSG00000076650",28,20,69,54
"ENSG00000076662",134,125,14,13
"ENSG00000076706",0,0,46,58
"ENSG00000076716",0,0,161,138
"ENSG00000076826",18,14,83,76
"ENSG00000076924",161,161,235,221
"ENSG00000076928",132,157,38,34
"ENSG00000076944",18,13,10,16
"ENSG00000077152",77,82,112,113
"ENSG00000077235",208,168,867,778
"ENSG00000077238",34,27,1,0
"ENSG00000077312",433,398,456,436
"ENSG00000077348",114,95,109,141
"ENSG00000077458",21,25,25,36
"ENSG00000077463",48,40,29,34
"ENSG00000077514",102,95,159,135
"ENSG00000077549",65,62,62,56
"ENSG00000078043",56,50,41,43
"ENSG00000078124",21,20,30,41
"ENSG00000078142",38,34,66,51
"ENSG00000078237",27,30,45,47
"ENSG00000078246",40,32,113,118
"ENSG00000078304",14,17,6,10
"ENSG00000078399",0,0,23,13
"ENSG00000078687",20,17,41,35
"ENSG00000078900",0,0,20,21
"ENSG00000078902",18,10,37,23
"ENSG00000079134",56,52,54,59
"ENSG00000079313",136,120,89,83
"ENSG00000079387",123,88,68,59
"ENSG00000079432",307,312,216,211
"ENSG00000079435",85,85,15,14
"ENSG00000079459",642,487,195,175
"ENSG00000079462",37,31,63,47
"ENSG00000079616",53,68,43,40
"ENSG00000079805",356,333,430,425
"ENSG00000079950",14,17,11,3
"ENSG00000079999",296,248,207,165
"ENSG00000080371",71,72,36,41
"ENSG00000080815",11,14,28,22
"ENSG00000080839",114,125,116,112
"ENSG00000080854",0,4,48,44
"ENSG00000080986",85,61,44,47
