"","x"
"1",1
"2",9
"3",5
"4",1
"5",11
"6",12
"7",13
"8",6
"9",12
"10",13
"11",3
"12",1
"13",12
"14",1
"15",14
"16",14
"17",11
"18",12
"19",7
"20",14
"21",1
"22",7
"23",11
"24",11
"25",9
"26",4
"27",14
"28",1
"29",2
"30",7
"31",3
"32",5
"33",8
"34",10
"35",1
"36",8
"37",1
"38",3
"39",11
"40",14
"41",1
"42",12
"43",5
"44",3
"45",14
"46",5
"47",14
"48",7
"49",12
"50",10
"51",1
"52",2
"53",14
"54",11
"55",12
"56",12
"57",6
"58",13
"59",12
"60",7
"61",1
"62",3
"63",1
"64",13
"65",6
"66",1
"67",3
"68",1
"69",7
"70",11
"71",14
"72",7
"73",13
"74",11
"75",1
"76",14
"77",13
"78",5
"79",7
"80",7
"81",1
"82",10
"83",3
"84",11
"85",12
"86",1
"87",5
"88",12
"89",9
"90",14
"91",8
"92",12
"93",2
"94",7
"95",14
"96",1
"97",12
"98",11
"99",1
"100",12
"101",11
"102",10
"103",5
"104",11
"105",11
"106",1
"107",12
"108",14
"109",13
"110",1
"111",1
"112",10
"113",1
"114",1
"115",2
"116",12
"117",5
"118",5
"119",3
"120",9
"121",13
"122",1
"123",12
"124",12
"125",12
"126",13
"127",11
"128",7
"129",2
"130",9
"131",13
"132",5
"133",9
"134",12
"135",11
"136",5
"137",3
"138",13
"139",13
"140",7
"141",7
"142",11
"143",2
"144",13
"145",5
"146",10
"147",7
"148",11
"149",5
"150",11
"151",13
"152",9
"153",12
"154",13
"155",14
"156",3
"157",3
"158",12
"159",1
"160",9
"161",10
"162",13
"163",12
"164",2
"165",1
"166",7
"167",11
"168",5
"169",5
"170",13
"171",3
"172",11
"173",1
"174",3
"175",7
"176",12
"177",9
"178",3
"179",11
"180",11
"181",7
"182",1
"183",7
"184",1
"185",8
"186",11
"187",9
"188",1
"189",11
"190",1
"191",5
"192",7
"193",2
"194",4
"195",9
"196",1
"197",1
"198",14
"199",7
"200",1
"201",3
"202",5
"203",14
"204",14
"205",13
"206",7
"207",8
"208",3
"209",5
"210",13
"211",10
"212",8
"213",3
"214",11
"215",1
"216",8
"217",11
"218",1
"219",14
"220",5
"221",1
"222",9
"223",1
"224",7
"225",13
"226",13
"227",11
"228",5
"229",13
"230",7
"231",4
"232",7
"233",1
"234",5
"235",1
"236",14
"237",12
"238",11
"239",9
"240",12
"241",9
"242",12
"243",12
"244",12
"245",11
"246",8
"247",12
"248",3
"249",13
"250",5
"251",10
"252",11
"253",11
"254",7
"255",7
"256",12
"257",11
"258",9
"259",14
"260",5
"261",3
"262",9
"263",13
"264",9
"265",5
"266",5
"267",7
"268",14
"269",11
"270",3
"271",1
"272",1
"273",13
"274",10
"275",7
"276",13
"277",6
"278",13
"279",11
"280",14
"281",3
"282",12
"283",11
"284",11
"285",1
"286",14
"287",14
"288",5
"289",9
"290",6
