V1,V2,V3,V4
37.0,0.47818226904057126,27.0,0.11238207377141884
10.0,17.0,11.0,20.0
25.0,14.0,21.0,13.0
16.0,0.6658028221922061,13.0,0.3130986743363924
109.0,63.0,72.0,46.0
61.0,50.0,37.0,44.0
18.0,21.0,8.0,10.0
2.0,47.0,2.0,43.0
30.0,27.0,33.0,28.0
133.0,163.0,99.0,103.0
114.0,12.0,104.0,15.0
63.0,0.32455781616286383,51.0,1.0
139.0,152.0,97.0,105.0
26.0,0.7691160552166292,29.0,0.9927150730781933
87.0,93.0,69.0,61.0
83.0,118.0,53.0,90.0
136.0,94.0,105.0,70.0
44.0,34.0,29.0,24.0
386.0,82.0,300.0,73.0
403.0,503.0,344.0,374.0
48.0,0.908176457601382,31.0,0.9339691767135566
224.0,90.0,141.0,69.0
103.0,64.0,88.0,35.0
47.0,34.0,32.0,21.0
35.0,70.0,34.0,46.0
4.0,88.0,6.0,71.0
272.0,381.0,221.0,270.0
20.0,0.23963861434023515,22.0,0.1228579850554744
0.3147754089395691,206.0,0.576926329015917,154.0
64.0,27.0,58.0,24.0
9.0,1.0,10.0,1.0
240.0,130.0,165.0,100.0
11.0,39.0,9.0,37.0
21.0,45.0,24.0,46.0
18.0,0.701587430472476,20.0,0.925998432091603
20.0,68.0,19.0,62.0
20.0,0.11095036039418948,18.0,0.2736778118129981
78.0,13.0,66.0,5.0
196.0,167.0,159.0,125.0
68.0,100.0,52.0,93.0
22.0,0.1273708088861094,18.0,0.5648591964191242
31.0,24.0,24.0,27.0
158.0,100.0,125.0,72.0
79.0,0.812786481671048,69.0,1.0
224.0,386.0,171.0,302.0
85.0,45.0,56.0,36.0
171.0,308.0,154.0,255.0
22.0,12.0,12.0,5.0
973.0,944.0,786.0,690.0
20.0,54.0,15.0,41.0
71.0,0.9538263802792748,61.0,0.6487032064027677
2.0,661.0,4.0,502.0
10.0,11.0,11.0,6.0
225.0,162.0,189.0,136.0
104.0,100.0,79.0,95.0
25.0,12.0,12.0,10.0
7.0,59.0,6.0,47.0
81.0,105.0,74.0,88.0
11.0,4.0,11.0,6.0
9.0,3.0,4.0,0.13330244917964007
40.0,2.0,36.0,0.23509022970270477
28.0,0.9241870936739076,16.0,1.0
19.0,0.8567892743133565,13.0,0.6080315026751698
48.0,51.0,27.0,28.0
11.0,65.0,8.0,62.0
30.0,1.0,23.0,0.08803514649004307
35.0,4.0,23.0,1.0
48.0,0.6599626968169959,47.0,2.0
95.0,30.0,72.0,23.0
65.0,44.0,45.0,37.0
45.0,49.0,30.0,42.0
40.0,20.0,23.0,14.0
143.0,165.0,119.0,110.0
18.0,22.0,26.0,18.0
44.0,0.10770538124482143,26.0,2.0
491.0,707.0,408.0,500.0
19.0,20.0,19.0,6.0
49.0,29.0,31.0,23.0
19.0,7.0,16.0,3.0
17.0,10.0,7.0,10.0
97.0,0.22726898260593675,84.0,0.9982367161765816
17.0,19.0,8.0,21.0
80.0,6.0,50.0,3.0
250.0,170.0,170.0,136.0
721.0,681.0,599.0,505.0
12.0,0.4112994649869981,15.0,0.3960565651243725
247.0,142.0,171.0,115.0
85.0,88.0,74.0,60.0
49.0,81.0,36.0,59.0
16.0,25.0,13.0,18.0
2.0,22.0,4.0,26.0
55.0,53.0,58.0,66.0
1.0,1273.0,2.0,925.0
26.0,9.0,22.0,5.0
18.0,34.0,23.0,29.0
196.0,3.0,167.0,4.0
226.0,175.0,159.0,138.0
111.0,101.0,105.0,51.0
23.0,1.0,27.0,1.0
248.0,230.0,228.0,162.0
593.0,425.0,477.0,332.0
8.0,18.0,4.0,8.0
20.0,11.0,14.0,8.0
105.0,63.0,95.0,56.0
35.0,16.0,18.0,14.0
69.0,1.0,49.0,0.4570022088485127
238.0,298.0,199.0,235.0
70.0,108.0,53.0,87.0
279.0,255.0,222.0,168.0
12.0,0.81243028619804,2.0,0.2723250680468431
19.0,0.24356845178091768,21.0,1.0
11.0,27.0,5.0,22.0
20.0,0.8523655198220067,14.0,0.2741935053488477
66.0,0.3967607610372671,46.0,0.007308796157537878
1.0,624.0,3.0,481.0
9.0,6.0,10.0,13.0
54.0,26.0,49.0,19.0
86.0,48.0,64.0,38.0
29.0,8.0,24.0,7.0
36.0,50.0,32.0,44.0
109.0,145.0,83.0,93.0
32.0,0.04816966331964245,18.0,0.3947311561048167
364.0,292.0,310.0,235.0
15.0,9.0,12.0,9.0
17.0,14.0,11.0,6.0
144.0,162.0,98.0,125.0
222.0,167.0,181.0,129.0
16.0,16.0,24.0,5.0
0.30624005244035724,192.0,1.0,154.0
143.0,273.0,110.0,215.0
14.0,13.0,11.0,11.0
33.0,17.0,21.0,12.0
29.0,48.0,25.0,34.0
144.0,151.0,146.0,124.0
22.0,16.0,15.0,10.0
41.0,26.0,54.0,20.0
17.0,1.0,18.0,0.4063716412241861
174.0,156.0,126.0,114.0
21.0,13.0,11.0,11.0
9.0,3.0,11.0,2.0
11.0,6.0,17.0,7.0
110.0,81.0,88.0,62.0
1.0,391.0,1.0,320.0
122.0,116.0,76.0,93.0
13.0,14.0,11.0,5.0
92.0,210.0,107.0,209.0
383.0,84.0,293.0,77.0
37.0,22.0,28.0,12.0
380.0,249.0,319.0,159.0
22.0,13.0,13.0,8.0
119.0,130.0,97.0,111.0
148.0,226.0,116.0,193.0
39.0,31.0,24.0,18.0
115.0,125.0,78.0,107.0
26.0,25.0,12.0,24.0
51.0,7.0,33.0,5.0
469.0,66.0,392.0,45.0
131.0,130.0,99.0,102.0
18.0,0.3146278994309878,13.0,0.26710869782310775
70.0,179.0,63.0,124.0
90.0,251.0,88.0,198.0
12.0,20.0,15.0,13.0
55.0,80.0,52.0,46.0
1.0,86.0,0.6796909281284016,76.0
24.0,0.08895448621282498,11.0,0.6592232705236724
20.0,7.0,15.0,4.0
25.0,14.0,18.0,7.0
77.0,66.0,62.0,33.0
13.0,8.0,14.0,3.0
473.0,548.0,356.0,421.0
99.0,22.0,82.0,20.0
102.0,69.0,101.0,70.0
23.0,1.0,11.0,0.2349518651620316
18.0,1.0,16.0,1.0
45.0,15.0,30.0,16.0
160.0,152.0,127.0,136.0
67.0,98.0,47.0,93.0
15.0,2.0,23.0,2.0
49.0,44.0,33.0,29.0
111.0,95.0,93.0,49.0
22.0,8.0,20.0,7.0
15.0,0.5755713604018752,15.0,0.9188972755911421
1336.0,369.0,1052.0,262.0
1079.0,0.016017077983604966,842.0,3.0
30.0,121.0,20.0,73.0
21.0,9.0,17.0,8.0
10.0,11.0,10.0,6.0
12.0,0.24380273400476393,11.0,0.5412640162548009
52.0,40.0,42.0,18.0
43.0,0.9902011814243834,38.0,0.6693487718286554
22.0,14.0,14.0,8.0
187.0,76.0,150.0,58.0
0.95065363239691,23.0,0.6389640594362211,26.0
1.0,19.0,0.3139338238166476,15.0
14.0,16.0,15.0,20.0
38.0,0.962707555587474,35.0,0.22750135150953021
38.0,0.8358338599756149,39.0,0.7054768018778089
8.0,19.0,10.0,6.0
16.0,1.0,13.0,4.0
28.0,0.9569165426248871,35.0,0.92772825688806
47.0,8.0,42.0,2.0
50.0,22.0,42.0,24.0
2.0,5.0,4.0,8.0
19.0,37.0,23.0,22.0
61.0,55.0,36.0,59.0
167.0,64.0,136.0,25.0
5.0,23.0,3.0,17.0
100.0,36.0,99.0,16.0
155.0,51.0,99.0,34.0
204.0,216.0,160.0,166.0
32.0,56.0,13.0,45.0
101.0,476.0,85.0,354.0
17.0,4.0,13.0,0.07164960794388309
83.0,55.0,68.0,51.0
48.0,0.5737710871433269,33.0,0.6039556929280595
24.0,71.0,11.0,54.0
22.0,18.0,16.0,18.0
152.0,0.48034622206534816,111.0,0.3142028575474085
41.0,81.0,42.0,55.0
98.0,42.0,95.0,35.0
534.0,0.27673557149222117,431.0,0.6773793794996671
5.0,19.0,6.0,18.0
113.0,0.05565256128264373,83.0,0.6378418408404097
46.0,15.0,27.0,15.0
24.0,13.0,11.0,18.0
16.0,15.0,14.0,16.0
237.0,176.0,172.0,136.0
32.0,21.0,18.0,14.0
56.0,70.0,51.0,55.0
19.0,7.0,9.0,6.0
8.0,129.0,4.0,94.0
57.0,26.0,40.0,22.0
31.0,0.4664098546064801,25.0,0.6913911392321511
37.0,24.0,19.0,19.0
34.0,0.9459981952762075,24.0,0.7574792330977076
10.0,18.0,12.0,15.0
103.0,103.0,78.0,72.0
308.0,229.0,222.0,157.0
86.0,142.0,79.0,100.0
45.0,37.0,32.0,28.0
41.0,88.0,38.0,73.0
66.0,73.0,52.0,51.0
171.0,188.0,144.0,114.0
132.0,106.0,99.0,96.0
45.0,28.0,34.0,26.0
130.0,956.0,98.0,733.0
116.0,105.0,97.0,100.0
59.0,4.0,36.0,4.0
