"","x"
"1",13
"2",12
"3",8
"4",13
"5",6
"6",1
"7",1
"8",9
"9",1
"10",10
"11",11
"12",5
"13",1
"14",13
"15",10
"16",12
"17",8
"18",6
"19",3
"20",10
"21",13
"22",4
"23",8
"24",6
"25",12
"26",9
"27",10
"28",13
"29",7
"30",4
"31",11
"32",8
"33",15
"34",2
"35",13
"36",15
"37",5
"38",11
"39",6
"40",12
"41",5
"42",1
"43",8
"44",5
"45",12
"46",8
"47",12
"48",4
"49",1
"50",2
"51",13
"52",7
"53",10
"54",6
"55",1
"56",1
"57",14
"58",10
"59",1
"60",3
"61",5
"62",5
"63",13
"64",10
"65",14
"66",13
"67",11
"68",5
"69",3
"70",6
"71",10
"72",4
"73",1
"74",6
"75",5
"76",10
"77",1
"78",8
"79",4
"80",3
"81",13
"82",2
"83",11
"84",6
"85",1
"86",13
"87",8
"88",1
"89",12
"90",10
"91",15
"92",1
"93",7
"94",3
"95",10
"96",5
"97",1
"98",6
"99",5
"100",1
"101",6
"102",15
"103",8
"104",8
"105",6
"106",13
"107",1
"108",12
"109",1
"110",13
"111",5
"112",2
"113",13
"114",13
"115",7
"116",1
"117",8
"118",4
"119",3
"120",12
"121",10
"122",13
"123",6
"124",1
"125",1
"126",10
"127",6
"128",4
"129",7
"130",12
"131",1
"132",8
"133",12
"134",1
"135",6
"136",8
"137",11
"138",1
"139",1
"140",3
"141",3
"142",6
"143",7
"144",10
"145",8
"146",2
"147",3
"148",6
"149",8
"150",6
"151",10
"152",12
"153",1
"154",10
"155",12
"156",11
"157",11
"158",1
"159",13
"160",2
"161",2
"162",1
"163",1
"164",7
"165",13
"166",3
"167",6
"168",8
"169",4
"170",10
"171",3
"172",6
"173",5
"174",5
"175",4
"176",1
"177",12
"178",11
"179",6
"180",6
"181",4
"182",13
"183",3
"184",13
"185",15
"186",6
"187",12
"188",13
"189",6
"190",13
"191",8
"192",4
"193",7
"194",9
"195",12
"196",13
"197",13
"198",12
"199",4
"200",13
"201",11
"202",8
"203",10
"204",12
"205",10
"206",3
"207",14
"208",3
"209",4
"210",1
"211",2
"212",15
"213",11
"214",6
"215",13
"216",15
"217",6
"218",13
"219",12
"220",4
"221",13
"222",2
"223",13
"224",4
"225",10
"226",1
"227",6
"228",8
"229",10
"230",4
"231",9
"232",4
"233",13
"234",8
"235",13
"236",12
"237",1
"238",6
"239",12
"240",1
"241",2
"242",1
"243",1
"244",1
"245",6
"246",14
"247",1
"248",11
"249",10
"250",4
"251",2
"252",6
"253",6
"254",4
"255",3
"256",1
"257",6
"258",12
"259",12
"260",8
"261",11
"262",2
"263",1
"264",12
"265",8
"266",8
"267",4
"268",12
"269",6
"270",11
"271",5
"272",13
"273",10
"274",2
"275",3
"276",10
"277",14
"278",10
"279",6
"280",10
"281",11
"282",1
"283",6
"284",8
"285",13
"286",10
"287",10
"288",8
"289",12
"290",14
"291",10
"292",6
"293",1
"294",11
"295",3
"296",14
"297",13
"298",11
"299",9
"300",12
"301",1
"302",6
"303",12
"304",7
"305",1
"306",3
"307",4
"308",6
"309",13
"310",1
"311",13
"312",8
"313",4
"314",12
"315",5
"316",8
"317",13
"318",10
"319",4
"320",12
"321",8
"322",8
"323",4
"324",10
"325",10
"326",15
"327",14
"328",11
"329",6
"330",15
"331",8
"332",1
"333",8
"334",12
"335",3
"336",13
"337",1
"338",4
"339",2
"340",10
"341",1
"342",13
"343",3
"344",12
"345",1
"346",15
"347",15
"348",13
"349",10
"350",3
"351",3
"352",3
"353",14
"354",1
"355",3
"356",1
"357",6
"358",12
"359",6
"360",10
"361",1
"362",6
"363",6
"364",13
"365",10
"366",8
"367",13
"368",12
"369",9
"370",2
"371",1
"372",1
"373",1
"374",13
"375",4
"376",1
"377",3
"378",13
"379",4
"380",12
"381",6
"382",2
"383",10
"384",2
"385",3
"386",9
"387",4
"388",2
"389",14
"390",6
"391",13
"392",6
"393",2
"394",12
"395",6
"396",6
"397",8
"398",10
"399",6
"400",5
"401",13
"402",6
"403",12
"404",5
"405",4
"406",11
"407",1
"408",8
"409",3
"410",9
"411",11
"412",1
"413",4
"414",3
"415",4
"416",8
"417",8
"418",10
"419",4
"420",6
"421",1
"422",1
"423",6
"424",13
"425",12
"426",1
"427",10
"428",8
"429",12
"430",5
"431",1
"432",8
"433",3
"434",1
"435",14
"436",1
"437",4
"438",14
"439",13
"440",13
"441",3
"442",1
"443",15
"444",12
"445",1
"446",3
"447",7
"448",10
"449",1
"450",1
"451",12
"452",6
"453",10
"454",12
"455",6
"456",6
"457",6
"458",4
"459",2
"460",13
"461",8
"462",13
"463",8
"464",10
"465",12
"466",2
"467",12
"468",14
"469",15
"470",6
"471",12
"472",1
"473",2
"474",12
"475",2
"476",6
"477",10
"478",5
"479",2
"480",10
"481",6
"482",14
"483",6
"484",10
"485",15
"486",13
"487",10
"488",10
"489",2
"490",8
"491",13
"492",7
"493",3
"494",2
"495",6
"496",8
"497",1
"498",1
"499",2
"500",8
"501",1
"502",1
"503",4
"504",10
"505",8
"506",5
"507",10
"508",10
"509",3
"510",9
"511",1
"512",2
"513",3
"514",11
"515",1
"516",6
"517",1
"518",2
"519",12
"520",4
"521",8
"522",12
"523",8
"524",4
"525",8
"526",10
"527",1
"528",10
"529",12
"530",4
"531",6
"532",13
"533",6
"534",12
"535",6
"536",6
"537",1
"538",13
"539",1
"540",2
"541",6
"542",6
"543",4
"544",10
"545",4
"546",10
"547",12
"548",12
"549",1
"550",5
"551",6
"552",1
"553",11
"554",7
"555",12
"556",11
"557",3
"558",12
"559",4
"560",1
"561",4
"562",1
"563",3
"564",15
"565",2
"566",7
"567",12
"568",1
"569",12
"570",3
"571",1
"572",6
"573",6
"574",11
"575",4
"576",9
"577",10
"578",8
"579",5
"580",10
"581",15
"582",6
"583",12
"584",1
"585",8
"586",10
"587",12
"588",2
"589",1
"590",1
"591",6
"592",10
"593",1
"594",10
"595",14
"596",4
"597",12
"598",14
"599",11
"600",11
"601",10
"602",1
"603",4
"604",1
"605",4
"606",1
"607",12
"608",2
"609",12
"610",4
"611",7
"612",5
"613",3
"614",12
"615",4
"616",15
"617",10
"618",1
"619",6
"620",13
"621",6
"622",6
"623",1
"624",1
"625",12
"626",10
"627",10
"628",13
"629",1
"630",14
"631",10
"632",1
"633",6
"634",6
"635",6
"636",12
"637",10
"638",10
"639",6
"640",6
"641",1
"642",1
"643",15
"644",10
"645",12
"646",4
"647",14
"648",10
"649",7
"650",1
"651",1
"652",13
"653",12
"654",4
"655",15
"656",13
"657",15
"658",4
"659",2
"660",15
"661",7
"662",1
"663",10
"664",10
"665",4
"666",2
"667",10
"668",10
"669",1
"670",1
"671",1
"672",1
"673",13
"674",10
"675",1
"676",12
"677",15
"678",5
"679",2
"680",1
"681",10
"682",1
"683",6
"684",5
"685",8
"686",12
"687",10
"688",4
"689",1
"690",1
"691",10
"692",13
"693",7
"694",6
"695",1
"696",13
"697",1
"698",7
"699",7
"700",12
"701",1
"702",1
"703",12
"704",10
"705",4
"706",4
"707",4
"708",12
"709",13
"710",5
"711",6
"712",2
"713",8
"714",4
"715",1
"716",1
"717",4
"718",4
"719",6
"720",2
"721",2
