"","x"
"1",7
"2",1
"3",11
"4",7
"5",11
"6",8
"7",8
"8",12
"9",8
"10",9
"11",3
"12",7
"13",8
"14",7
"15",8
"16",1
"17",6
"18",6
"19",5
"20",9
"21",7
"22",10
"23",11
"24",6
"25",1
"26",12
"27",9
"28",7
"29",15
"30",10
"31",3
"32",11
"33",13
"34",4
"35",7
"36",13
"37",7
"38",3
"39",6
"40",1
"41",7
"42",8
"43",11
"44",7
"45",1
"46",11
"47",1
"48",10
"49",8
"50",4
"51",7
"52",15
"53",8
"54",6
"55",8
"56",11
"57",2
"58",9
"59",10
"60",10
"61",7
"62",7
"63",7
"64",8
"65",2
"66",7
"67",3
"68",7
"69",5
"70",6
"71",9
"72",11
"73",8
"74",8
"75",7
"76",9
"77",6
"78",6
"79",5
"80",8
"81",7
"82",1
"83",3
"84",6
"85",8
"86",7
"87",11
"88",8
"89",1
"90",1
"91",2
"92",8
"93",15
"94",5
"95",1
"96",7
"97",6
"98",6
"99",3
"100",6
"101",6
"102",1
"103",11
"104",11
"105",11
"106",7
"107",9
"108",1
"109",8
"110",7
"111",7
"112",13
"113",7
"114",7
"115",15
"116",8
"117",10
"118",11
"119",5
"120",1
"121",9
"122",7
"123",6
"124",6
"125",6
"126",9
"127",6
"128",11
"129",15
"130",4
"131",8
"132",11
"133",1
"134",8
"135",6
"136",10
"137",7
"138",8
"139",6
"140",5
"141",10
"142",6
"143",15
"144",8
"145",8
"146",4
"147",5
"148",11
"149",11
"150",11
"151",9
"152",1
"153",6
"154",9
"155",1
"156",3
"157",3
"158",8
"159",7
"160",4
"161",4
"162",8
"163",9
"164",15
"165",7
"166",10
"167",10
"168",6
"169",10
"170",9
"171",5
"172",6
"173",7
"174",3
"175",10
"176",8
"177",1
"178",3
"179",8
"180",6
"181",10
"182",7
"183",5
"184",7
"185",13
"186",10
"187",8
"188",7
"189",11
"190",7
"191",11
"192",10
"193",15
"194",12
"195",8
"196",7
"197",7
"198",1
"199",5
"200",7
"201",3
"202",11
"203",1
"204",1
"205",9
"206",5
"207",13
"208",5
"209",10
"210",8
"211",4
"212",13
"213",3
"214",6
"215",7
"216",13
"217",8
"218",7
"219",1
"220",10
"221",7
"222",13
"223",7
"224",10
"225",8
"226",8
"227",6
"228",6
"229",9
"230",10
"231",12
"232",10
"233",7
"234",6
"235",7
"236",1
"237",8
"238",6
"239",1
"240",8
"241",4
"242",8
"243",8
"244",8
"245",6
"246",2
"247",8
"248",3
"249",9
"250",5
"251",1
"252",6
"253",10
"254",10
"255",5
"256",8
"257",11
"258",4
"259",1
"260",11
"261",3
"262",4
"263",8
"264",1
"265",6
"266",8
"267",11
"268",1
"269",6
"270",7
"271",3
"272",7
"273",9
"274",4
"275",5
"276",9
"277",2
"278",8
"279",6
"280",9
"281",3
"282",8
"283",8
"284",11
"285",7
"286",9
"287",9
"288",11
"289",1
"290",2
"291",9
"292",6
"293",9
"294",3
"295",3
"296",2
"297",7
"298",3
"299",12
"300",1
"301",6
"302",6
"303",9
"304",15
"305",8
"306",5
"307",10
"308",6
"309",7
"310",8
"311",7
"312",11
"313",10
"314",1
"315",7
"316",6
"317",7
"318",6
"319",10
"320",1
"321",6
"322",11
"323",10
"324",9
"325",9
"326",13
"327",2
"328",3
"329",10
"330",2
"331",11
"332",8
"333",10
"334",1
"335",10
"336",7
"337",8
"338",10
"339",4
"340",9
"341",8
"342",7
"343",10
"344",1
"345",1
"346",13
"347",4
"348",7
"349",8
"350",5
"351",5
"352",5
"353",2
"354",1
"355",5
"356",8
"357",1
"358",1
"359",6
"360",1
"361",8
"362",6
"363",11
"364",7
"365",9
"366",6
"367",7
"368",1
"369",12
"370",4
"371",8
"372",8
"373",8
"374",7
"375",10
"376",8
"377",5
"378",7
"379",10
"380",13
"381",6
"382",4
"383",8
"384",4
"385",5
"386",12
"387",10
"388",1
"389",2
"390",6
"391",7
"392",8
"393",4
"394",1
"395",6
"396",8
"397",10
"398",8
"399",6
"400",3
"401",7
"402",6
"403",1
"404",7
"405",10
"406",3
"407",1
"408",10
"409",5
"410",12
"411",3
"412",6
"413",11
"414",5
"415",10
"416",11
"417",6
"418",1
"419",10
"420",6
"421",8
"422",8
"423",6
"424",7
"425",1
"426",9
"427",8
"428",10
"429",1
"430",3
"431",8
"432",11
"433",5
"434",8
"435",2
"436",8
"437",10
"438",2
"439",7
"440",7
"441",5
"442",8
"443",13
"444",8
"445",8
"446",5
"447",15
"448",9
"449",8
"450",1
"451",1
"452",6
"453",8
"454",1
"455",6
"456",11
"457",6
"458",10
"459",4
"460",7
"461",6
"462",7
"463",10
"464",9
"465",1
"466",4
"467",1
"468",13
"469",13
"470",11
"471",1
"472",8
"473",1
"474",1
"475",4
"476",6
"477",9
"478",7
"479",1
"480",1
"481",6
"482",2
"483",8
"484",8
"485",13
"486",7
"487",1
"488",9
"489",4
"490",11
"491",7
"492",15
"493",5
"494",13
"495",11
"496",6
"497",8
"498",8
"499",13
"500",11
"501",6
"502",8
"503",10
"504",9
"505",6
"506",3
"507",1
"508",1
"509",5
"510",15
"511",6
"512",4
"513",3
"514",7
"515",6
"516",6
"517",8
"518",1
"519",9
"520",10
"521",11
"522",1
"523",11
"524",10
"525",11
"526",9
"527",8
"528",1
"529",1
"530",10
"531",11
"532",7
"533",6
"534",1
"535",10
"536",6
"537",8
"538",7
"539",8
"540",4
"541",6
"542",8
"543",5
"544",8
"545",5
"546",9
"547",1
"548",1
"549",8
"550",3
"551",6
"552",8
"553",3
"554",15
"555",1
"556",3
"557",10
"558",8
"559",10
"560",8
"561",10
"562",8
"563",5
"564",4
"565",4
"566",15
"567",1
"568",8
"569",1
"570",5
"571",8
"572",6
"573",6
"574",3
"575",10
"576",12
"577",1
"578",11
"579",7
"580",9
"581",4
"582",6
"583",1
"584",8
"585",8
"586",9
"587",1
"588",4
"589",8
"590",8
"591",8
"592",8
"593",8
"594",1
"595",13
"596",10
"597",1
"598",2
"599",3
"600",3
"601",1
"602",8
"603",10
"604",6
"605",10
"606",8
"607",1
"608",4
"609",9
"610",10
"611",15
"612",3
"613",5
"614",1
"615",10
"616",13
"617",8
"618",8
"619",6
"620",7
"621",8
"622",11
"623",8
"624",8
"625",1
"626",1
"627",9
"628",7
"629",6
"630",2
"631",1
"632",6
"633",8
"634",8
"635",6
"636",1
"637",8
"638",9
"639",5
"640",6
"641",1
"642",8
"643",13
"644",8
"645",1
"646",10
"647",2
"648",6
"649",15
"650",8
"651",1
"652",7
"653",1
"654",10
"655",13
"656",7
"657",13
"658",10
"659",13
"660",13
"661",15
"662",8
"663",9
"664",1
"665",10
"666",4
"667",9
"668",8
"669",8
"670",8
"671",8
"672",8
"673",7
"674",9
"675",1
"676",4
"677",13
"678",7
"679",4
"680",8
"681",1
"682",8
"683",8
"684",7
"685",11
"686",1
"687",8
"688",10
"689",8
"690",8
"691",8
"692",7
"693",15
"694",11
"695",8
"696",7
"697",8
"698",15
"699",15
"700",1
"701",8
"702",6
"703",1
"704",9
"705",10
"706",10
"707",10
"708",1
"709",7
"710",3
"711",8
"712",4
"713",10
"714",11
"715",8
"716",8
"717",11
"718",10
"719",6
"720",4
"721",4
"722",13
"723",1
"724",7
"725",3
"726",6
"727",6
"728",8
"729",6
"730",1
"731",7
"732",7
"733",15
"734",1
"735",4
"736",8
"737",13
"738",6
"739",1
"740",1
"741",11
"742",15
"743",10
"744",8
"745",10
"746",8
"747",9
"748",8
"749",8
"750",8
"751",1
"752",8
"753",10
"754",6
"755",9
"756",8
"757",1
"758",6
"759",1
"760",6
"761",6
"762",1
"763",1
"764",13
"765",13
"766",1
"767",5
"768",15
"769",11
"770",1
"771",11
"772",10
"773",8
"774",11
"775",4
"776",5
"777",8
"778",8
"779",10
"780",8
"781",13
"782",4
"783",10
"784",7
"785",1
"786",4
"787",9
"788",8
"789",12
"790",9
"791",13
"792",8
"793",10
"794",7
"795",1
"796",4
"797",8
"798",12
"799",7
"800",8
"801",6
"802",6
"803",1
"804",1
"805",13
"806",4
"807",7
"808",9
"809",8
"810",1
"811",10
