"","C42_1","C42B_1","LNCAP_1","MR49F_1","C42_2","C42B_2","LNCAP_2","MR49F_2","C42_3","C42B_3","LNCAP_3","MR49F_3"
"ENSG00000000003",6,330,30,20,21,36,418,127,85,179,19,15
"ENSG00000000419",67,1273,204,14,4,12,1460,161,34,154,6,39
"ENSG00000000457",16,3,38,64,11,2,61,9,52,17,6,2
"ENSG00000000460",4,29,20,20,8,9,349,23,89,3,6,4
"ENSG00000001036",31,293,187,129,47,33,93,89,571,29,16,24
"ENSG00000001084",17,1433,150,75,12,50,6,156,33,186,8,101
"ENSG00000001167",8,27,249,9,2,68,87,41,124,229,33,19
"ENSG00000001460",2,8,13,5,3,0,54,4,6,7,1,1
"ENSG00000001461",7,903,99,48,12,10,34,116,44,136,12,6
"ENSG00000001497",23,210,453,54,18,12,58,204,85,19,10,23
"ENSG00000001561",7,324,52,110,81,9,79,39,45,59,8,37
"ENSG00000001617",4,1205,48,23,14,55,2,47,28,175,4,8
"ENSG00000001629",14,39,136,290,32,25,178,77,35,114,13,84
"ENSG00000001630",1,18,1,18,2,3,37,32,13,3,2,3
"ENSG00000001631",13,345,26,321,16,14,13,18,111,33,25,18
"ENSG00000002016",2,36,37,14,4,4,57,83,24,139,3,19
"ENSG00000002330",1,239,31,27,2,1,221,39,38,4,11,56
"ENSG00000002549",20,201,242,271,10,20,1630,128,72,90,14,51
"ENSG00000002586",23,103,110,339,18,14,49,102,256,127,518,106
"ENSG00000002587",11,1,20,26,6,5,56,18,176,5,0,2
"ENSG00000002822",2,160,45,30,14,1,79,8,1,54,2,2
"ENSG00000002834",71,137,74,325,393,79,604,294,149,705,14,298
"ENSG00000002919",6,297,80,54,5,15,132,30,45,23,4,8
"ENSG00000003056",22,2187,11,65,12,22,747,91,107,156,16,17
"ENSG00000003096",0,0,10,2,0,0,3,4,18,10,2,0
"ENSG00000003137",0,17,0,0,0,2,5,0,0,2,0,0
"ENSG00000003147",18,394,145,117,8,17,39,42,410,28,17,34
"ENSG00000003249",2,38,45,14,14,20,456,11,29,11,12,9
"ENSG00000003393",5,474,46,87,156,7,103,147,13,124,10,17
