"","x"
"1",15
"2",26
"3",23
"4",7
"5",8
"6",1
"7",17
"8",9
"9",7
"10",17
"11",17
"12",21
"13",17
"14",28
"15",23
"16",17
"17",17
"18",17
"19",21
"20",7
"21",20
"22",18
"23",7
"24",15
"25",25
"26",22
"27",16
"28",9
"29",25
"30",21
"31",6
"32",22
"33",8
"34",11
"35",16
"36",16
"37",26
"38",20
"39",22
"40",19
"41",5
"42",23
"43",15
"44",18
"45",18
"46",6
"47",27
"48",16
"49",24
"50",12
"51",19
"52",8
"53",25
"54",8
"55",25
"56",2
"57",19
"58",8
"59",18
"60",8
"61",23
"62",29
"63",26
"64",1
"65",20
"66",5
"67",7
"68",4
"69",9
"70",24
"71",1
"72",25
"73",13
"74",13
"75",23
"76",1
"77",29
"78",4
"79",8
"80",17
"81",29
"82",7
"83",29
"84",8
"85",27
"86",10
"87",25
"88",23
"89",7
"90",15
"91",27
"92",29
"93",22
"94",23
"95",28
"96",21
"97",24
"98",7
"99",15
"100",29
"101",17
"102",11
"103",19
"104",23
"105",16
"106",26
"107",29
"108",19
"109",16
"110",29
"111",23
"112",16
"113",7
"114",28
"115",22
"116",8
"117",24
"118",18
"119",17
"120",19
"121",17
"122",22
"123",17
"124",25
"125",24
"126",7
"127",29
"128",5
"129",23
"130",19
"131",12
"132",25
"133",27
"134",11
"135",12
"136",12
"137",18
"138",19
"139",18
"140",2
"141",12
"142",22
"143",18
"144",17
"145",29
"146",4
"147",1
"148",3
"149",7
"150",27
"151",23
"152",12
"153",27
"154",28
"155",6
"156",16
"157",27
"158",19
"159",17
"160",16
"161",23
"162",16
"163",29
"164",11
"165",15
"166",25
"167",25
"168",2
"169",15
"170",29
"171",17
"172",21
"173",19
"174",18
"175",18
"176",20
"177",23
"178",2
"179",20
"180",19
"181",26
"182",19
"183",10
"184",7
"185",17
"186",28
"187",29
"188",2
"189",21
"190",23
"191",16
"192",16
"193",19
"194",11
"195",24
"196",12
"197",16
"198",21
"199",12
"200",13
"201",19
"202",5
"203",18
"204",24
"205",10
"206",12
"207",3
"208",26
"209",19
"210",26
"211",15
"212",10
"213",16
"214",15
"215",16
"216",18
"217",19
"218",22
"219",29
"220",27
"221",6
"222",7
"223",27
"224",26
"225",5
"226",18
"227",5
"228",5
"229",20
"230",9
"231",8
"232",24
"233",16
"234",13
"235",14
"236",29
"237",9
"238",18
"239",19
"240",12
"241",7
"242",26
"243",16
"244",11
"245",11
"246",22
"247",24
"248",20
"249",25
"250",9
"251",17
"252",5
"253",21
"254",28
"255",11
"256",11
"257",6
"258",19
"259",6
"260",7
"261",23
"262",29
"263",15
"264",11
"265",10
"266",1
"267",7
"268",1
"269",27
"270",29
"271",15
"272",13
"273",24
"274",25
"275",18
"276",11
"277",6
"278",23
"279",24
"280",19
"281",17
"282",9
"283",24
"284",22
"285",24
"286",21
"287",9
"288",10
"289",19
"290",15
"291",29
"292",18
"293",5
"294",8
"295",10
"296",15
"297",10
"298",8
"299",27
"300",22
"301",22
"302",3
"303",4
"304",18
"305",4
"306",16
"307",9
"308",10
"309",10
"310",23
"311",29
"312",12
"313",1
"314",6
"315",27
"316",26
"317",22
"318",27
"319",7
"320",9
"321",12
"322",16
"323",26
"324",18
"325",9
"326",23
"327",16
"328",1
"329",29
"330",28
