"","x"
"Cluster 1",0.0133362993845739
"Cluster 2",0.014140407782443
"Cluster 3",0.00683196830899594
"Cluster 4",0.016194351659822
"Cluster 5",0.00538961661430697
"Cluster 6",0.0695155377721184
"Cluster 7",0.0565794068874696
"Cluster 8",0.021558295647382
"Cluster 9",0.029459055965008
"Cluster 10",0.0278441188700773
"Cluster 11",0.0383654738083803
"Cluster 12",0.0312490188237358
"Cluster 13",0.00447650864516241
"Cluster 14",0.011493208150698
"Cluster 15",0.0365303779350482
"Cluster 16",0.0343719373667227
"Cluster 17",0.0710481791117967
"Cluster 18",0.0506953355067098
"Cluster 19",0.0366744013680865
"Cluster 20",0.0320670526446074
"Cluster 21",0.0324613257209766
"Cluster 22",0.0488005717186024
"Cluster 23",0.0409462247797855
"Cluster 24",0.0457412860357464
"Cluster 25",0.0450543851515728
"Cluster 26",0.0306347362100899
"Cluster 27",0.0467786545098927
"Cluster 28",0.0396526248050987
"Cluster 29",0.0621096388150903
