"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0000008",7551,2115,3561,2393,4201,10789,20594,12805,4935,6014,2760,5338
"FBgn0000014",135,1331,9645,14198,14129,11359,22710,11238,8229,8321,2918,6706
"FBgn0000015",64,590,5982,5692,5690,4127,7978,3009,2804,3150,1121,2804
"FBgn0000017",19124,15294,11862,11312,14809,20546,28808,21247,13142,9013,8859,14643
"FBgn0000018",1642,232,643,417,385,340,499,279,203,175,92,234
"FBgn0000022",95,704,4325,1694,571,120,89,17,8,29,3,23
"FBgn0000024",4,9,28,66,106,380,1279,2355,3761,4820,2823,6624
"FBgn0000028",5,22,110,94,106,180,457,595,474,388,118,274
"FBgn0000032",6499,3530,2670,1297,2383,3384,5692,3484,5077,3919,2585,5607
"FBgn0000036",4,2,9,15,22,147,434,1130,1909,2417,1043,1841
"FBgn0000037",5,20,36,55,39,121,434,1683,4104,5501,2861,6347
"FBgn0000038",0,3,2,11,12,102,359,84,255,222,122,412
"FBgn0000039",10,1,7,13,18,151,585,1399,2172,3080,1568,3417
"FBgn0000042",106141,145495,298340,143051,137700,182744,200864,124547,103538,141296,137076,261758
"FBgn0000043",16213,22241,70480,64494,72601,88525,100421,47034,30207,24800,10980,22231
"FBgn0000044",1774,1477,4160,16923,41523,76191,198246,486492,766306,967922,410241,889452
"FBgn0000045",11,11,37,113,235,346,895,3394,5532,5040,2889,5402
"FBgn0000046",236,646,5362,6620,10324,7550,8137,33395,119966,122048,22681,51814
"FBgn0000047",4,5,28,13,27,28,42,34,50,46,16,59
"FBgn0000052",9421,2482,2424,1374,2020,6292,7133,5752,3750,3308,2833,5562
"FBgn0000053",1440,988,2254,1187,1526,3038,3756,2437,1539,1625,1110,2078
"FBgn0000054",5276,5257,16791,12508,7995,9373,11699,6784,4467,3548,1134,2663
"FBgn0000057",5273,2169,2368,2176,3175,5059,4864,3359,2421,1797,1107,2189
"FBgn0000061",16,37,242,1213,1784,2898,5067,3061,1848,2772,1003,2147
"FBgn0000063",4315,928,3981,2345,1321,753,1265,264,186,132,52,157
"FBgn0000064",11069,11034,22067,8381,12740,28813,48743,95769,97240,119110,64244,127023
"FBgn0000071",1677,19349,146609,134496,80771,64339,50303,14216,3744,2453,598,1616
"FBgn0000075",122,498,3491,1094,1005,2252,5499,22290,27912,3619,292,707
"FBgn0000077",3107,1344,2278,1183,1345,1734,1620,1136,700,560,393,760
"FBgn0000078",0,1,1,2,5,3,5,4,1,1,3,6
"FBgn0000079",1,3,8,20,41,54,50,25,7,67,644,1031
"FBgn0000083",6956,6131,9284,6895,8646,24655,37071,47009,26603,38223,27093,50290
"FBgn0000084",2611,298,169,56,87,97,150,483,690,715,190,308
"FBgn0000092",9,25,70,61,73,60,58,37,34,48,156,410
"FBgn0000094",0,1,1,1,7,0,0,0,1,2,0,0
"FBgn0000097",9880,11401,63604,48986,31384,24986,32788,14907,9382,5878,5563,10748
"FBgn0000099",50,74,511,961,657,997,1811,872,573,515,202,487
"FBgn0000100",100031,120146,247442,136894,147597,259200,211151,199663,167326,187682,105711,187498
"FBgn0000108",291,161,226,477,1215,4343,9934,9967,11531,12380,7277,16204
"FBgn0000109",1210,1545,4319,1681,1091,1205,1845,1170,1235,1113,1166,2659
"FBgn0000114",39082,3614,1155,368,581,915,1281,1134,922,1249,613,1332
"FBgn0000115",4677,3961,7258,5203,5337,7863,6438,4021,2679,2148,945,1774
"FBgn0000116",16592,792,1632,10370,25610,109757,102530,78732,42512,36442,33966,63631
"FBgn0000117",51642,86896,332972,187221,134358,178055,168451,118241,74847,54935,28668,54542
"FBgn0000119",7722,9933,30955,15101,13311,14281,17468,9552,7774,5804,4063,7709
"FBgn0000120",2,1,2,6,24,7,15,190,473,800,610,1252
"FBgn0000121",0,23,159,41,60,66,72,31,103,130,83,160
"FBgn0000137",26,240,3388,4753,3680,2087,2751,409,322,248,68,245
"FBgn0000139",2604,3528,6540,2491,2071,1821,2114,1402,1111,799,1233,2295
"FBgn0000140",26185,11083,40974,18642,11293,4105,5002,2181,1417,851,1049,1863
"FBgn0000142",9162,4131,13124,9344,7536,5909,12094,7057,5704,5383,1978,4302
"FBgn0000146",5425,4313,3076,1313,1288,851,1427,815,631,296,614,1234
"FBgn0000147",7720,3376,8957,5874,4349,2056,1403,757,489,280,249,783
"FBgn0000150",76465,41695,28487,9653,10021,20939,19887,21601,16606,15730,8945,14136
"FBgn0000152",2744,1286,2934,1697,1802,1341,992,444,461,758,586,1347
"FBgn0000153",64,85,155,53,51,51,64,342,942,1266,93,271
"FBgn0000157",29,463,2233,1769,1458,1361,2012,998,1068,1074,348,715
"FBgn0000158",2914,808,580,268,384,270,412,249,226,81,257,432
"FBgn0000163",11273,11411,24194,17605,15535,10824,11214,12963,8721,5778,2128,4197
"FBgn0000166",4685,1754,1850,802,1150,688,1779,1197,853,318,1348,2524
"FBgn0000171",36600,11099,47163,56931,40947,55680,54054,36738,24319,28994,16818,28096
"FBgn0000173",13501,14671,18407,8302,9788,10325,12720,9059,6264,4983,2974,6126
"FBgn0000179",162,146,788,2316,3237,4564,6410,4347,2563,2338,723,1373
"FBgn0000180",1738,27673,90628,49914,18553,8261,6928,2501,1129,1129,359,845
"FBgn0000181",64540,45874,103080,65842,67355,111717,95953,63874,56417,57881,36007,68828
"FBgn0000182",87826,2128,1452,414,499,111,350,571,88,181,62,241
"FBgn0000183",18124,8922,6904,3463,5963,9708,18193,12099,9354,6125,5608,12361
"FBgn0000206",2,5,17,88,170,1049,1552,735,517,301,115,221
"FBgn0000210",37,68,70,124,213,636,1686,2570,2216,2203,740,1366
"FBgn0000212",27722,39505,94053,54824,41008,24728,37119,25437,16336,8776,13846,20428
"FBgn0000216",331,3593,26740,17259,8718,702,438,113,91,93,17,190
"FBgn0000221",2015,1199,2696,1353,1171,1293,1209,807,450,364,239,438
"FBgn0000227",2435,22158,669,63,108,28,41,36,16,41,8,153
"FBgn0000228",11210,58176,14310,6179,6254,5548,7222,4581,3513,2634,2034,4688
"FBgn0000229",815,909,7547,6990,5842,8176,12947,3656,4367,2741,1071,3226
"FBgn0000233",250,3261,11515,4503,1711,1034,1125,726,437,433,143,252
"FBgn0000239",19049,16474,17021,8837,10302,9549,13794,9419,7853,4139,8435,15278
"FBgn0000241",5,16,70,249,402,1062,1503,1056,334,116,22,45
"FBgn0000242",4667,315,256,329,567,942,1330,1216,1224,1540,739,1259
"FBgn0000244",696,327,329,593,1347,4376,5990,8230,14726,33981,15122,33708
"FBgn0000246",3221,3046,2208,1045,1537,1055,3398,615,1040,474,1002,2667
"FBgn0000247",11495,1948,4826,5460,5820,5521,9435,6896,5385,5836,2631,5322
"FBgn0000250",26779,29290,32529,15528,13916,12434,20379,23082,22209,18234,15493,28005
"FBgn0000251",27938,9607,5034,2669,2313,2803,4262,4145,3622,4145,2595,4827
"FBgn0000253",32281,44866,76188,12380,16797,16267,35865,25101,37015,39769,31312,74304
"FBgn0000256",2943,331,261,1416,4171,5364,6428,3691,1313,1194,734,1560
"FBgn0000257",6419,3104,6948,3205,3357,4678,3884,2653,1822,1814,830,1575
"FBgn0000258",11568,4674,13543,8297,8698,10515,21618,3827,4880,2812,1648,5080
"FBgn0000259",4895,1102,4474,3808,3494,3120,5677,3094,2636,1956,938,2155
"FBgn0000261",4940,5267,7238,4531,7358,13943,13327,14097,14669,14241,5260,10610
"FBgn0000273",7516,7862,12023,6436,6707,5542,10755,11906,13631,13970,7957,15170
"FBgn0000274",35,27,28,15,43,21,34,18,12,11,4,9
"FBgn0000276",0,0,0,0,1,2,0,0,3,2,1,0
"FBgn0000277",0,0,1,0,0,2,1,0,1,1,0,0
"FBgn0000278",0,2,1,1,0,3,2,0,0,0,0,4
"FBgn0000279",0,0,0,0,5,18,19,3,3,16,5,16
"FBgn0000283",27244,40489,77069,43768,34846,20153,34974,17396,14327,8952,11015,20556
"FBgn0000286",8790,1012,2643,2232,2591,4685,6811,6437,4217,4242,1409,2706
"FBgn0000287",19,35,154,575,977,2387,5696,3748,3148,2969,1352,3324
"FBgn0000289",23386,19008,38010,26693,21444,18931,20784,19779,12328,10057,4988,9110
"FBgn0000299",819,633,1475,4852,8744,30526,87466,238880,397733,651159,260564,440222
"FBgn0000303",7,5,8,22,43,386,855,1289,1581,3128,2524,5023
"FBgn0000307",13264,15280,32914,17084,15387,8819,23895,9821,8669,5312,6425,12908
"FBgn0000308",20482,27607,75239,48106,50158,63360,84022,36355,27223,19894,9820,21786
"FBgn0000313",7,101,430,251,168,63,97,63,111,120,41,73
"FBgn0000317",12062,11602,8535,8014,12224,13015,37934,21316,13039,5670,6619,12178
"FBgn0000318",5649,4971,7198,1698,2082,5134,4688,3542,3260,3276,2180,4450
"FBgn0000319",37685,43251,119794,74312,71437,86592,125571,84594,62274,44086,25649,54856
"FBgn0000320",147,1696,15451,6701,6183,8423,5724,2928,1358,1267,384,768
