"","x"
"1",5
"2",10
"3",1
"4",1
"5",2
"6",4
"7",6
"8",3
"9",4
"10",3
"11",5
"12",7
"13",8
"14",8
"15",5
"16",5
"17",6
"18",6
"19",1
"20",2
"21",10
"22",5
"23",10
"24",4
"25",1
"26",7
"27",9
"28",1
"29",5
"30",9
"31",6
"32",8
"33",3
"34",4
"35",3
"36",5
"37",5
"38",5
"39",7
"40",5
"41",4
"42",10
"43",4
"44",8
"45",8
"46",2
"47",6
"48",10
"49",4
"50",1
"51",10
"52",8
"53",8
"54",8
"55",7
"56",8
"57",6
"58",8
"59",4
"60",7
"61",8
"62",6
"63",4
"64",5
"65",3
"66",1
"67",6
"68",1
"69",4
"70",3
"71",5
"72",4
"73",7
"74",8
"75",4
"76",10
"77",1
"78",10
"79",8
"80",1
"81",5
"82",6
"83",3
"84",1
"85",10
"86",10
"87",4
"88",5
"89",7
"90",8
"91",4
"92",5
"93",4
"94",7
"95",1
"96",5
"97",1
"98",6
"99",8
"100",6
"101",7
"102",4
"103",10
"104",8
"105",9
"106",4
"107",3
"108",8
"109",7
"110",5
"111",4
"112",8
"113",1
"114",2
"115",10
"116",4
"117",5
"118",6
"119",10
"120",9
"121",3
"122",1
"123",8
"124",6
"125",1
"126",5
"127",7
"128",5
"129",2
"130",9
"131",5
"132",10
"133",8
"134",1
"135",5
"136",8
"137",4
"138",1
"139",6
"140",8
"141",10
"142",4
"143",2
"144",1
"145",10
"146",4
"147",6
"148",4
"149",8
"150",10
"151",1
"152",10
"153",10
"154",4
"155",4
"156",5
"157",4
"158",9
"159",4
"160",6
"161",10
"162",5
"163",9
"164",10
"165",7
"166",8
"167",1
"168",5
"169",5
"170",8
"171",1
"172",8
"173",5
"174",10
"175",9
"176",8
"177",1
"178",2
"179",7
"180",10
"181",7
"182",10
"183",1
"184",10
"185",6
"186",5
"187",4
"188",4
"189",5
"190",4
"191",10
"192",3
"193",4
"194",9
"195",6
"196",3
"197",3
"198",10
"199",9
"200",4
"201",8
"202",6
"203",10
"204",10
"205",4
"206",4
"207",6
"208",8
"209",3
"210",6
"211",1
"212",4
"213",6
"214",1
"215",3
"216",5
"217",10
"218",4
"219",2
"220",1
"221",8
"222",2
"223",9
"224",10
"225",8
"226",1
"227",5
"228",9
"229",7
"230",5
"231",9
"232",5
"233",4
"234",5
"235",5
"236",1
"237",1
"238",2
"239",7
"240",3
"241",8
"242",10
"243",8
"244",4
"245",10
"246",2
"247",5
"248",3
"249",1
"250",9
"251",1
"252",2
"253",10
"254",4
"255",10
"256",9
"257",1
"258",8
"259",9
"260",1
"261",6
"262",6
"263",3
"264",5
"265",8
"266",5
"267",8
"268",1
"269",10
"270",6
"271",5
"272",5
"273",4
"274",3
"275",6
"276",1
"277",8
"278",9
"279",10
"280",1
"281",9
"282",2
"283",5
"284",4
"285",3
"286",10
"287",3
"288",6
"289",6
"290",3
"291",8
"292",7
"293",2
"294",7
"295",2
"296",1
"297",7
"298",6
"299",8
"300",9
"301",1
"302",3
"303",1
"304",5
"305",2
"306",1
"307",1
"308",8
"309",7
"310",2
"311",3
"312",6
"313",3
"314",1
"315",1
"316",2
"317",9
"318",5
"319",8
"320",1
"321",5
"322",9
"323",8
"324",1
"325",9
"326",9
"327",2
"328",9
"329",3
"330",5
"331",5
"332",4
"333",8
"334",1
"335",8
"336",6
"337",1
"338",1
"339",7
"340",9
"341",5
"342",2
"343",8
"344",7
"345",5
"346",9
"347",2
"348",5
"349",7
"350",9
"351",5
"352",8
"353",1
"354",5
