,x
ENSG00000000003,13
ENSG00000000419,6
ENSG00000000457,1
ENSG00000000460,9
ENSG00000001036,5
ENSG00000001084,12
ENSG00000001167,15
ENSG00000001460,7
ENSG00000001461,12
ENSG00000001497,2
ENSG00000001561,13
ENSG00000001617,3
ENSG00000001629,2
ENSG00000001630,2
ENSG00000001631,14
ENSG00000002016,14
ENSG00000002330,16
ENSG00000002549,2
ENSG00000002586,2
ENSG00000002587,5
ENSG00000002822,6
ENSG00000002834,13
ENSG00000002919,6
ENSG00000003056,10
ENSG00000003096,9
ENSG00000003137,10
ENSG00000003147,17
ENSG00000003249,9
ENSG00000003393,13
ENSG00000003400,13
ENSG00000003402,16
ENSG00000003436,11
ENSG00000003509,7
ENSG00000003756,13
ENSG00000003989,7
ENSG00000004059,12
ENSG00000004139,16
ENSG00000004142,14
ENSG00000004399,3
ENSG00000004455,14
ENSG00000004478,10
ENSG00000004487,6
ENSG00000004534,13
ENSG00000004660,11
ENSG00000004700,11
ENSG00000004766,1
ENSG00000004777,8
ENSG00000004779,6
ENSG00000004838,12
ENSG00000004864,1
ENSG00000004866,16
ENSG00000004897,11
ENSG00000004961,1
ENSG00000004975,2
ENSG00000005001,3
ENSG00000005007,2
ENSG00000005020,16
ENSG00000005022,2
ENSG00000005059,10
ENSG00000005073,3
ENSG00000005075,11
ENSG00000005100,16
ENSG00000005156,12
ENSG00000005175,16
ENSG00000005187,7
ENSG00000005189,9
ENSG00000005194,8
ENSG00000005206,9
ENSG00000005238,10
ENSG00000005249,7
ENSG00000005302,13
ENSG00000005339,10
ENSG00000005379,10
ENSG00000005436,2
ENSG00000005448,12
ENSG00000005469,16
ENSG00000005471,4
ENSG00000005483,6
ENSG00000005486,1
ENSG00000005513,9
ENSG00000005700,16
ENSG00000005801,2
ENSG00000005810,7
ENSG00000005812,4
ENSG00000005882,13
ENSG00000005884,15
ENSG00000005889,12
ENSG00000005893,1
ENSG00000005961,3
ENSG00000006007,1
ENSG00000006015,10
ENSG00000006025,14
ENSG00000006042,10
ENSG00000006047,3
ENSG00000006062,4
ENSG00000006071,6
ENSG00000006118,1
ENSG00000006125,16
ENSG00000006194,1
ENSG00000006282,2
ENSG00000006283,3
ENSG00000006327,10
ENSG00000006432,15
ENSG00000006451,2
ENSG00000006453,17
ENSG00000006459,13
ENSG00000006468,7
ENSG00000006530,1
ENSG00000006534,3
ENSG00000006576,1
ENSG00000006607,12
ENSG00000006625,1
ENSG00000006634,1
ENSG00000006652,1
ENSG00000006695,6
ENSG00000006704,12
ENSG00000006712,16
ENSG00000006715,2
ENSG00000006740,13
ENSG00000006744,13
ENSG00000006747,7
ENSG00000006756,9
ENSG00000006757,11
ENSG00000006831,9
ENSG00000006837,1
ENSG00000007047,16
ENSG00000007080,3
ENSG00000007168,16
ENSG00000007174,5
ENSG00000007202,13
ENSG00000007255,14
ENSG00000007341,6
ENSG00000007376,1
ENSG00000007384,9
ENSG00000007392,16
ENSG00000007402,11
ENSG00000007516,3
ENSG00000007520,9
ENSG00000007541,8
ENSG00000007545,11
ENSG00000007866,6
ENSG00000007923,12
ENSG00000007944,5
ENSG00000007952,4
ENSG00000007968,15
ENSG00000008018,10
ENSG00000008083,15
ENSG00000008086,13
ENSG00000008128,2
ENSG00000008130,16
ENSG00000008256,2
ENSG00000008277,16
ENSG00000008282,13
ENSG00000008283,12
