"","X1","X2","X3","X4"
"1",99,102,10,7
"2",107,100,11,9
"3",103,98,14,10
"4",78,97,8,3
"5",101,87,6,11
"6",99,82,12,16
"7",84,92,10,16
"8",114,88,12,12
"9",92,91,14,8
"10",95,86,6,10
"11",88,92,11,11
"12",93,83,11,7
"13",93,81,11,13
"14",103,95,9,11
"15",98,98,11,9
"16",97,89,12,10
"17",84,95,16,7
"18",89,87,15,9
"19",116,103,11,11
"20",106,101,16,11
"21",90,95,13,11
"22",98,103,8,12
"23",82,109,5,9
"24",94,91,11,11
"25",85,100,12,9
"26",96,95,8,13
"27",97,91,8,10
"28",77,99,7,6
"29",94,96,10,10
"30",107,83,11,13
"31",90,100,15,9
"32",106,105,13,8
"33",106,97,18,11
"34",88,109,7,13
"35",95,106,7,7
"36",74,101,9,8
"37",84,91,10,10
"38",85,91,11,7
"39",80,86,11,4
"40",89,93,12,13
"41",92,96,10,11
"42",83,93,13,6
"43",91,113,8,12
"44",81,103,8,12
"45",105,110,11,13
"46",90,94,9,11
"47",98,103,11,7
"48",88,99,8,8
"49",86,109,14,8
"50",102,85,6,6
"51",94,100,10,6
"52",97,106,10,8
"53",82,99,4,8
"54",92,92,15,9
"55",90,102,14,15
"56",100,83,12,16
"57",99,103,8,13
"58",88,105,13,10
"59",92,88,3,10
"60",81,99,11,10
"61",92,86,9,13
"62",98,92,10,13
"63",83,92,12,8
"64",102,92,20,9
"65",84,102,13,14
"66",101,109,11,12
"67",89,79,14,7
"68",95,95,16,9
"69",118,88,9,9
"70",94,102,9,10
"71",107,97,8,11
"72",101,99,9,14
"73",80,109,10,13
"74",106,86,9,9
"75",98,82,11,13
"76",93,72,5,10
"77",102,101,10,9
"78",91,100,12,11
"79",83,89,8,10
"80",105,87,11,12
"81",79,88,10,4
"82",101,104,8,10
"83",97,95,9,10
"84",92,102,13,11
"85",93,94,8,9
"86",86,74,9,10
"87",120,91,8,12
"88",94,95,14,7
"89",82,91,9,14
"90",85,95,7,16
"91",95,95,9,14
"92",91,92,10,13
"93",99,93,11,10
"94",106,87,9,9
"95",100,85,9,12
"96",89,100,12,6
"97",80,102,14,11
"98",103,107,5,4
"99",86,98,9,7
"100",75,86,9,13
"101",92,73,5,9
"102",86,92,11,15
"103",92,101,10,10
"104",101,92,9,11
"105",115,89,11,14
"106",97,74,10,10
"107",77,93,12,9
"108",87,75,10,16
"109",83,107,13,8
"110",89,89,9,13
"111",90,105,10,14
"112",94,98,9,3
"113",94,96,11,9
"114",89,89,15,8
"115",109,85,4,9
"116",78,88,12,10
"117",91,116,11,15
"118",98,114,7,7
"119",104,93,12,8
"120",86,83,9,11
"121",101,83,9,13
"122",95,99,10,8
"123",102,95,18,15
"124",78,112,11,13
"125",93,97,11,7
"126",78,85,7,13
"127",94,96,7,18
"128",102,91,14,6
"129",101,105,13,10
"130",77,94,6,7
"131",89,105,7,10
"132",93,98,12,13
"133",93,77,6,9
"134",96,110,11,7
"135",89,89,11,8
"136",96,93,10,7
"137",90,113,6,9
"138",100,108,10,17
"139",96,90,14,9
"140",103,101,9,10
"141",90,85,7,9
"142",76,87,11,14
"143",94,103,11,12
"144",85,103,14,12
"145",85,85,17,8
"146",88,101,6,7
"147",102,88,16,6
"148",83,86,7,12
"149",94,107,17,9
"150",88,82,6,11
"151",96,110,12,8
"152",105,93,11,7
"153",82,82,5,12
"154",104,79,7,13
"155",91,95,7,11
"156",107,95,8,8
"157",77,99,11,17
"158",108,96,10,14
"159",81,102,3,17
"160",71,99,15,10
"161",86,85,7,15
"162",93,76,8,10
"163",82,98,7,9
"164",89,98,10,7
"165",101,85,7,15
"166",86,85,10,7
"167",105,104,6,9
"168",94,86,9,9
"169",99,102,11,6
"170",98,93,6,15
"171",102,99,8,11
"172",92,93,17,9
"173",93,92,5,5
"174",106,106,11,11
"175",85,94,9,12
"176",90,108,8,14
"177",96,94,8,14
"178",90,112,7,5
"179",80,90,14,12
"180",106,83,12,9
"181",78,101,11,9
"182",95,93,7,5
"183",86,82,7,11
"184",112,93,10,7
"185",106,96,10,11
"186",93,101,11,7
"187",104,86,12,11
"188",81,87,13,14
"189",82,96,9,10
"190",88,89,8,11
"191",104,93,11,5
"192",107,104,10,15
"193",91,97,9,13
"194",95,109,12,7
"195",94,100,8,11
"196",100,100,14,9
"197",81,119,14,7
"198",80,97,13,13
"199",84,88,11,9
"200",105,88,15,17
"201",87,94,11,12
"202",96,102,12,7
"203",96,104,10,8
"204",101,100,11,11
"205",98,87,11,13
"206",80,105,9,9
"207",85,88,11,11
"208",98,84,16,6
"209",96,100,5,7
"210",89,104,20,15
"211",93,102,7,6
"212",84,90,13,7
"213",103,98,6,7
"214",102,86,9,10
"215",97,104,9,11
"216",97,88,10,4
"217",94,95,9,9
"218",92,84,16,11
"219",81,98,11,8
"220",107,98,14,7
"221",89,101,9,12
"222",83,92,11,5
"223",88,97,12,9
"224",80,92,18,6
"225",118,107,9,6
"226",74,95,10,6
"227",94,92,14,13
"228",97,89,8,5
"229",73,99,15,8
"230",101,107,6,13
"231",87,95,6,9
"232",85,86,11,8
"233",97,96,11,5
"234",108,97,10,9
"235",110,111,11,5
"236",101,91,12,14
"237",99,101,8,8
"238",102,88,13,8
"239",85,91,12,9
"240",86,96,8,11
"241",104,93,15,14
"242",82,95,13,14
"243",114,103,4,15
"244",90,90,10,9
"245",83,84,5,14
"246",100,94,10,11
"247",78,108,9,10
"248",105,96,12,11
"249",99,100,10,11
"250",92,76,7,10
"251",80,88,9,6
"252",108,93,10,10
"253",114,85,12,19
"254",94,100,12,15
"255",80,75,11,11
"256",92,86,4,7
"257",93,104,9,8
"258",116,90,10,9
"259",91,99,9,9
"260",86,88,11,7
"261",101,95,11,4
"262",81,106,16,10
"263",85,106,6,9
"264",99,82,11,6
"265",100,87,12,10
"266",99,100,8,6
"267",73,102,12,7
"268",74,115,11,10
"269",83,86,11,10
"270",91,107,11,10
"271",80,94,9,5
"272",86,104,9,15
"273",91,92,12,7
"274",85,100,8,3
"275",124,96,13,7
"276",85,101,12,7
"277",80,86,20,8
"278",95,80,7,9
"279",84,92,14,7
"280",79,79,5,12
"281",92,86,8,7
"282",105,105,10,14
"283",103,112,10,12
"284",82,86,11,12
"285",108,80,12,6
"286",95,106,6,11
"287",76,90,8,16
"288",96,101,7,10
"289",68,93,14,11
"290",90,92,8,15
"291",89,77,15,6
"292",98,103,7,16
"293",86,83,5,5
"294",99,72,8,8
"295",85,98,9,14
"296",99,98,8,8
"297",80,88,16,12
"298",96,95,7,12
"299",91,108,12,7
"300",91,94,12,10
"301",105,90,11,14
"302",83,86,10,12
"303",103,102,12,6
"304",93,107,11,13
"305",83,101,11,7
"306",100,104,11,10
"307",96,104,6,7
"308",82,90,13,11
"309",92,92,8,9
"310",89,94,11,14
"311",99,97,11,7
"312",107,90,8,9
"313",94,81,9,7
"314",91,92,14,9
"315",86,85,10,8
"316",85,98,14,5
"317",96,90,12,9
"318",91,93,11,13
"319",82,104,10,7
"320",98,93,10,12
"321",99,101,6,8
"322",92,86,9,16
"323",94,84,11,6
"324",82,84,10,11
"325",90,103,10,8
"326",106,92,6,13
"327",103,80,9,12
"328",91,89,9,9
"329",78,102,7,9
"330",106,99,12,14
"331",96,97,8,13
"332",86,96,9,8
"333",82,91,8,17
"334",93,107,8,10
"335",97,102,6,10
"336",97,108,12,20
"337",72,115,10,14
"338",97,97,14,10
"339",92,105,9,3
"340",115,93,11,10
"341",87,89,10,10
"342",93,109,8,10
"343",98,112,7,8
"344",96,92,6,13
"345",109,91,14,14
"346",93,93,9,8
"347",86,94,14,9
"348",97,86,12,11
"349",98,93,14,8
"350",86,91,5,8
"351",89,92,9,7
"352",95,96,8,5
"353",99,101,5,7
"354",94,97,9,7
"355",99,96,10,9
"356",101,90,11,13
"357",102,90,11,11
"358",108,112,6,16
"359",72,93,13,7
"360",93,82,14,19
"361",97,104,10,7
"362",125,100,9,17
"363",86,82,10,11
"364",90,80,13,7
"365",88,109,9,8
"366",94,103,5,7
"367",88,99,12,17
"368",76,98,11,11
"369",97,109,11,7
"370",106,85,7,12
"371",97,93,6,16
"372",95,88,5,13
"373",94,99,7,14
"374",110,94,9,3
"375",100,73,8,13
"376",92,90,9,13
"377",89,85,12,9
"378",99,89,8,6
"379",90,104,10,10
"380",106,99,10,12
"381",108,103,11,9
"382",106,78,9,8
"383",98,91,9,11
"384",81,98,12,9
"385",95,102,13,12
"386",90,78,12,8
"387",104,119,12,12
"388",103,89,11,15
"389",92,87,10,10
"390",60,85,11,11
"391",96,78,7,13
"392",89,97,11,8
"393",95,111,11,11
"394",101,81,12,14
"395",77,85,5,5
"396",91,124,15,7
"397",83,98,9,14
"398",99,83,4,7
"399",93,101,7,9
"400",99,98,4,9
"401",93,101,9,5
"402",90,98,10,10
"403",119,96,15,10
"404",93,86,16,11
"405",111,95,10,7
"406",91,87,16,6
"407",114,97,10,9
"408",112,90,9,6
"409",94,87,8,12
"410",99,100,6,7
"411",86,88,5,13
"412",90,99,13,8
"413",101,99,11,18
"414",100,92,8,10
"415",90,88,10,11
"416",87,110,11,12
"417",118,108,15,8
"418",103,90,12,7
"419",79,87,8,11
"420",95,102,11,10
"421",85,104,10,9
"422",87,97,12,12
"423",82,94,8,8
"424",92,103,11,6
"425",80,96,12,11
"426",98,100,11,10
"427",78,109,8,11
"428",118,92,10,10
"429",95,85,10,10
"430",84,97,14,7
"431",97,89,4,9
"432",88,73,10,6
"433",104,80,5,14
"434",79,105,9,13
"435",102,85,10,12
"436",98,102,13,12
"437",85,117,10,11
"438",100,107,12,6
"439",108,106,11,16
"440",106,85,14,8
"441",74,102,12,6
"442",91,94,10,16
"443",103,99,12,13
"444",93,95,9,5
"445",96,91,16,11
"446",96,103,8,9
"447",109,98,10,12
"448",97,96,14,11
"449",101,90,10,13
"450",88,98,13,13
"451",84,88,9,9
"452",89,87,8,12
"453",90,99,13,6
"454",94,98,10,9
"455",88,102,10,9
"456",97,94,10,9
"457",101,80,4,5
"458",94,92,14,15
"459",92,92,14,10
"460",92,102,10,12
"461",95,105,10,11
"462",78,96,6,10
"463",94,91,8,8
"464",84,76,14,7
"465",81,90,12,10
"466",97,104,6,9
"467",103,87,13,7
"468",102,100,10,2
"469",80,95,4,12
"470",74,97,8,8
"471",94,84,14,10
"472",90,104,13,8
"473",89,101,7,10
"474",85,97,14,7
"475",84,87,7,8
"476",87,88,10,8
"477",85,86,16,6
"478",101,85,6,16
"479",103,86,8,8
"480",92,93,15,12
"481",92,94,10,14
"482",110,92,13,4
"483",76,105,16,8
"484",83,104,11,11
"485",88,91,9,13
"486",87,99,5,12
"487",92,94,7,16
"488",83,81,10,11
"489",99,91,10,7
"490",91,73,9,10
"491",85,95,8,10
"492",88,88,9,13
"493",101,109,5,11
"494",98,88,10,13
"495",88,88,6,10
"496",85,103,4,6
"497",104,86,9,14
"498",97,96,3,11
"499",95,99,9,5
"500",99,101,13,10
"501",98,91,6,16
"502",92,112,11,17
"503",104,98,12,17
"504",86,105,12,8
"505",101,110,16,9
"506",88,121,15,8
"507",92,110,6,14
"508",88,96,10,8
"509",79,108,9,12
"510",98,99,9,16
"511",89,89,10,15
"512",85,82,12,8
"513",86,90,10,12
"514",103,86,13,6
"515",98,110,9,15
"516",88,100,7,6
"517",74,71,10,12
"518",92,97,10,9
"519",93,92,12,5
"520",87,93,15,14
"521",84,92,14,13
"522",83,99,5,20
"523",106,92,9,10
"524",80,89,5,14
"525",92,87,10,8
"526",85,95,7,5
"527",88,98,5,12
"528",70,104,8,6
"529",84,93,12,7
"530",96,83,13,11
"531",77,84,10,17
"532",98,100,9,10
"533",95,94,9,10
"534",92,101,8,11
"535",110,85,9,22
"536",79,89,12,14
"537",82,100,11,13
"538",85,98,15,9
"539",83,81,9,8
"540",88,93,8,9
"541",97,81,11,4
"542",79,98,6,7
"543",88,88,7,16
"544",117,115,6,11
"545",89,74,11,14
"546",113,112,11,9
"547",83,98,12,11
"548",107,96,10,12
"549",91,101,9,5
"550",109,83,6,8
"551",93,90,9,11
"552",90,103,9,10
"553",88,93,9,7
"554",80,85,10,15
"555",75,102,14,12
"556",87,98,10,12
"557",91,79,5,16
"558",109,101,8,11
"559",100,101,6,8
"560",89,95,20,8
"561",90,87,15,11
"562",97,91,15,10
"563",85,82,14,13
"564",99,101,10,11
"565",105,104,10,12
"566",107,99,11,7
"567",92,99,1,15
"568",81,92,13,13
"569",89,89,13,11
"570",84,91,14,5
"571",98,74,7,11
"572",92,78,11,13
"573",97,67,5,15
"574",83,79,19,15
"575",80,100,15,11
"576",87,91,8,8
"577",96,86,20,12
"578",87,89,14,7
"579",95,90,6,11
"580",99,96,8,8
"581",96,99,11,7
"582",100,74,8,13
"583",80,88,12,13
"584",95,88,10,10
"585",89,99,11,12
"586",90,83,10,11
"587",68,115,6,7
"588",86,112,1,14
"589",106,86,10,8
"590",101,83,8,10
"591",73,102,7,8
"592",95,85,10,10
"593",82,95,13,11
"594",96,94,17,16
"595",100,81,8,10
"596",84,108,10,12
"597",76,107,8,5
"598",86,87,14,8
"599",94,98,9,8
"600",95,100,10,14
"601",92,100,13,11
"602",93,112,7,13
"603",86,102,12,9
"604",96,88,7,14
"605",132,87,14,10
"606",87,101,7,12
"607",88,73,15,10
"608",90,102,7,9
"609",120,96,8,13
"610",100,85,12,14
