"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,1.04833079649736e-49,3.20724656114251e-140,0,3.5029498239375e-46,1.35830216457201e-52,1,3.60560408249088e-46,0
"2",0,2.48796512836103e-50,9.7537434867592e-140,0,1.62956047156927e-48,9.57945900392812e-56,1,1.67731488717255e-48,0
"3",0,2.21058647948396e-46,1.45677317176295e-133,0,3.79650696553032e-46,2.53276713352778e-53,1,3.90776394186192e-46,0
"4",0,1.07429405140059e-46,1.02150326164623e-138,0,5.99353484314846e-33,5.91278887248201e-37,1,6.1691759150214e-33,0
"5",0,4.02045499405854e-46,1.98884869618904e-135,0,1.11264434503121e-40,4.8276015770884e-46,1,1.14525048669668e-40,0
"6",1.13068223283577e-305,9.56358680298906e-40,2.61676601948066e-123,1.352381583495e-305,2.71212049005613e-36,4.02677646339207e-42,1,2.79159942170581e-36,9.32222220876639e-306
"7",1.87870389762227e-306,2.92864949853713e-39,8.66933890982355e-124,2.2515785885829e-306,4.79986635104828e-34,1.19173263036556e-38,1,4.94052685932029e-34,1.55001957419126e-306
"8",0,1.72883413895252e-48,2.02324181764647e-135,0,2.33383411476845e-46,6.19268504061006e-53,1,2.40222733132824e-46,0
"9",8.12363040990222e-316,1.1994660357497e-42,1.83091260352274e-129,9.4775688444903e-316,1.10027912515714e-38,2.12145287530114e-43,1,1.13252290268126e-38,6.7696920247207e-316
"10",0,9.19248688738575e-45,4.1639029768896e-134,0,1.20812956664192e-37,5.63894896216918e-42,1,1.24353391100128e-37,0
"11",2.13656657588397e-314,5.31104961386014e-42,1.59446614874831e-128,2.56465823980652e-314,8.35130790428938e-37,3.35843221758286e-41,1,8.59604372321233e-37,1.75906756363735e-314
"12",0,2.92276518350878e-43,3.12384903640408e-131,0,1.11750379907864e-34,9.63393680995628e-39,1,1.15025234702705e-34,0
"13",2.17274176145866e-308,6.05473559659422e-40,6.55176704629123e-125,2.59626183492434e-308,3.65176797913567e-33,1.15149228466477e-37,1,3.75878336315658e-33,1.79257058421949e-308
"14",0,2.20428454880487e-47,5.6438681154499e-136,0,2.61460186477163e-45,7.30752323685478e-52,1,2.69122300630077e-45,0
"15",0,8.45445186126983e-47,2.23756656757694e-135,0,1.98801634523407e-44,1.13473283732822e-50,1,2.04627534214098e-44,0
"16",4.21776727309372e-317,1.9549364958629e-43,3.59212697707617e-130,4.21776727309372e-317,4.67689780340641e-40,2.34866669699582e-45,1,4.81395470980203e-40,4.21776727309372e-317
"17",1.30571205681066e-312,1.93604451511665e-41,4.25408817462067e-128,1.57137606136775e-312,2.01033435516976e-35,3.75306530825686e-40,1,2.0692473818149e-35,1.07653094320136e-312
"18",1.13006354396581e-309,3.53164759166522e-40,1.1234665090013e-125,1.35648111875982e-309,1.3725231877475e-34,8.36117545262187e-39,1,1.41274510117871e-34,9.32111290288381e-310
"19",0,2.79540384929271e-54,8.67501414757342e-144,0,2.12759184242448e-53,3.73420489120205e-61,1,2.18994111213666e-53,0
"20",0,9.48221333964827e-47,2.71129642077473e-133,0,4.44504718223708e-48,6.63800008323476e-56,1,4.57530968757657e-48,0
"21",5.7136590714933e-314,3.58359609183828e-42,3.26958295551142e-128,6.87363375291904e-314,3.28964725449433e-39,2.79776958262881e-44,1,3.38605065976702e-39,4.70260005877919e-314
"22",0,4.46289757179662e-48,3.19565665397776e-137,0,5.82312108700532e-46,1.73903566485041e-52,1,5.99376817190817e-46,0
