"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3.25890510631663e-62,3.99576966732741e-62,1.16115923197422e-295,3.15725345660098e-62,6.74884360536249e-15,0.999999999999993,1.87825935721562e-208,4.76412054592288e-198,5.74261045682578e-235
"2",3.32571190084694e-48,4.08084183713705e-48,1.20501446050702e-260,3.24908365542162e-48,1.95192135204212e-18,1,2.9004809857283e-184,4.92492653386329e-170,2.78816297233497e-211
"3",2.65983084035109e-41,3.19430023315098e-41,6.06828592462347e-239,2.58402198659408e-41,4.4716333789551e-18,1,5.21415122829442e-167,1.14184824128089e-148,5.49765331291803e-192
"4",2.9506399815581e-46,3.56384659257918e-46,5.56844184066309e-250,2.87413823078805e-46,2.00985473068421e-18,1,6.90941950972064e-175,5.86448686402303e-160,4.2078631491845e-201
"5",3.48881808647675e-35,4.17912007990801e-35,7.9992094732402e-228,3.38615867414351e-35,3.18694981856951e-19,1,2.71481336009269e-158,2.34140125577896e-142,2.44314732551151e-181
"6",1.44089160092575e-50,1.74590147887689e-50,6.3430846294234e-256,1.40245307342036e-50,2.20121381808932e-14,0.999999999999978,4.68505062142942e-182,1.54989694501149e-158,2.01658943031996e-207
"7",5.25800553257984e-45,6.33350396427058e-45,4.72313586860788e-247,5.10941062994782e-45,1.79202836990614e-20,1,3.27328366122136e-170,3.87619115756126e-160,6.75149122676883e-197
"8",1.26481448695177e-43,1.52160932266593e-43,4.63757662739284e-252,1.22861997388725e-43,4.07948294986204e-23,1,8.03822373359386e-172,8.97736828282309e-172,2.35278430284987e-200
"9",1.74972348447718e-51,2.1250153266556e-51,8.95823192480238e-260,1.69335603766571e-51,1.658932539762e-17,1,1.15531059834951e-179,6.36638515591828e-167,5.49273320263883e-205
"10",9.79835724496124e-25,1.15217311141723e-24,1.32635964609172e-196,9.48876933087256e-25,1.08486816302575e-20,1,4.08702001559776e-131,5.1481248990886e-112,3.04162763081538e-153
"11",1.28831983733572e-44,1.55441481861628e-44,5.60812051525132e-245,1.25271290785757e-44,5.00145798103403e-21,1,6.51887261150774e-168,9.89012637489871e-160,2.3689487516595e-194
"12",4.07975635266857e-38,4.89906815692047e-38,2.35747326058223e-229,3.96446294507701e-38,1.84716094730687e-18,1,1.413496154544e-159,1.94033415840386e-139,2.51694734470632e-183
"13",2.25322785181745e-45,2.70629134919048e-45,2.74965905383567e-231,2.18806000491793e-45,1.27388501514227e-12,0.999999999998726,4.29827731116042e-163,5.00232829380665e-131,5.93337329395528e-185
"14",4.11603333112805e-37,4.92260194537669e-37,3.84077038892988e-223,3.99512256786854e-37,3.54951796815777e-17,1,6.1696729180796e-155,3.62753924156081e-133,7.12813765608233e-178
"15",2.47363778991429e-54,3.04360579663001e-54,5.6887539793717e-280,2.4065668034236e-54,8.81917554911172e-23,1,7.6523154067556e-193,8.88823949729168e-199,7.01483611607554e-223
"16",1.41065415126708e-39,1.69749295312376e-39,1.09969608264025e-236,1.37186074536482e-39,6.64469854897016e-19,1,1.13483119075969e-165,4.1279969562758e-147,4.36609127539587e-190
"17",1.57776100283442e-36,1.88724724253497e-36,1.63938620031847e-221,1.53343114051165e-36,6.47398046706092e-20,1,1.70650481811605e-151,1.9611909998983e-134,2.23168924904264e-175
"18",1.8095058812065e-51,2.19545554398429e-51,2.60658907622686e-255,1.75587773070762e-51,9.86526485098287e-16,0.999999999999999,6.49808786288162e-179,1.3208446603676e-159,1.30980942361938e-203
"19",3.6069867627139e-44,4.28696845149328e-44,7.54639425254783e-227,3.48356876751611e-44,4.67714338230182e-13,0.999999999999532,7.96307188085979e-157,4.45935998130971e-128,2.84404802250704e-178
"20",3.43911985180818e-44,4.12468578252906e-44,3.33995120813353e-235,3.33060931596857e-44,5.43805611293445e-19,1,3.98300952715963e-160,8.64643992047966e-146,1.25077617850477e-184
"21",4.71546166504167e-48,5.70505492590212e-48,4.92265466484927e-256,4.58647393936519e-48,6.02844444401545e-21,1,1.85101887785014e-176,9.79894865328191e-171,6.26020107627405e-204
"22",4.08263711854023e-34,4.8653356748339e-34,7.54637666629111e-218,3.96193848414751e-34,8.10195552991158e-21,1,4.62916283641868e-148,7.32331398764231e-133,6.87194333526507e-172
"23",2.16339805683964e-40,2.59446680358184e-40,2.50052444285044e-231,2.1006579157133e-40,4.19341926975685e-19,1,5.62101950865947e-159,6.19335268946581e-143,9.91543480058307e-184
"24",2.97824342780569e-42,3.57043997297424e-42,1.22687615240103e-230,2.89106213834367e-42,1.54605293452801e-17,1,5.45240060492642e-159,7.60467839322765e-139,6.35835517754598e-183
"25",6.84103087555737e-53,8.31995627876085e-53,3.39598450978104e-262,6.65388572457438e-53,2.39155374277724e-16,1,1.10014292342677e-184,4.95020464006152e-167,7.69499047987691e-211
"26",1.02524131586757e-40,1.24114279957971e-40,1.2283067329917e-234,9.99092299417409e-41,1.08057587218039e-13,0.999999999999892,1.08989367690689e-169,1.23531409272477e-136,1.66743465288316e-190
"27",1.2283166281628e-38,1.47849209821343e-38,1.12885222713765e-238,1.19503955367518e-38,1.95246767957579e-23,1,8.08134169242967e-163,6.81277680673768e-159,1.03733212974616e-189
"28",2.22706039265855e-55,2.73918600349562e-55,5.6410054064099e-287,2.16189137743194e-55,2.27488037127707e-23,1,2.46386653102988e-196,6.66112714668617e-207,8.75316870383324e-227
"29",7.51172940615862e-38,9.04146706289644e-38,2.92027318201521e-231,7.31157602158061e-38,1.24079033441696e-19,1,9.41607573591782e-161,8.21218824003642e-144,7.22936089517336e-185
"30",3.54431415742974e-41,4.22467866203169e-41,1.02691923402959e-240,3.42077066376877e-41,6.89200316761194e-25,1,8.86902408426547e-158,1.2983131787472e-164,3.99809468033538e-185
"31",7.03892419680944e-53,8.52483709437325e-53,1.74890757828659e-255,6.80846714286639e-53,5.1683650703532e-12,0.999999999994832,1.34708755875721e-179,5.82898230520928e-154,6.73469438397157e-202
"32",3.02702912000789e-38,3.57816669309337e-38,9.91950732209426e-217,2.93260584643135e-38,3.6240310685859e-16,1,2.01529496988564e-148,4.70991106212253e-123,6.71473132625421e-171
"33",9.60857572473045e-56,1.168841109962e-55,1.1250209832008e-269,9.30317908074677e-56,1.37645248924245e-14,0.999999999999986,1.13814519413068e-189,2.29253530525708e-171,6.77572489399748e-215
"34",2.07479300318985e-40,2.4945002946935e-40,9.5024453759257e-236,2.01718012781569e-40,6.28586128156501e-19,1,6.239145160049e-164,4.29232045241134e-146,8.85647198558427e-189
"35",1.3077609845091e-39,1.57708392676679e-39,1.75672065508388e-238,1.27213102664779e-39,2.14336192087163e-18,1,3.47211006556754e-168,1.45193237838752e-148,5.31669209814378e-192
"36",6.13255896525289e-44,7.35200737344586e-44,5.40346301422676e-236,5.93696735682518e-44,1.04599107535357e-19,1,4.34067865870621e-160,2.85766730309668e-148,5.14701135015868e-185
"37",1.25716442308892e-39,1.55824995088371e-39,1.30103854821575e-248,1.23173943294059e-39,2.36682563059969e-20,1,3.7119662287293e-178,1.306396405419e-163,1.00250468620126e-200
"38",6.14256928612314e-42,7.38785065113071e-42,1.52799247277877e-232,5.97470625176713e-42,1.30656459910876e-17,1,2.05635125680739e-161,8.84112772064072e-141,1.93033940997689e-185
"39",6.05071367375357e-56,7.35631576527777e-56,8.96246553736381e-266,5.86544613113751e-56,1.04009530355626e-12,0.99999999999896,7.17936851089077e-189,3.06199365250255e-165,1.36258506817213e-213
"40",3.63577562846748e-46,4.39298543097248e-46,5.22129937182743e-243,3.52400291827193e-46,7.46701583864856e-20,1,1.34201253496458e-165,3.76701563106179e-155,9.67514010614767e-191
"41",6.25614006937831e-52,7.55263627468029e-52,8.82989144835985e-252,6.06400491702824e-52,2.1240800199099e-12,0.999999999997876,1.86982018744056e-178,5.93926734773611e-151,5.9073423776665e-202
"42",6.2100198357459e-47,7.50647686920407e-47,4.02393993736883e-246,6.01627546689563e-47,1.4976345609198e-19,1,2.77715600123047e-168,1.13900524444855e-157,8.87439761327942e-194
"43",3.95461912245522e-46,4.82724278885621e-46,1.72432970654171e-255,3.86015140972893e-46,4.75987458417321e-19,1,4.86004076172784e-180,7.07365688978301e-166,9.20591409020237e-207
"44",2.75650745863252e-54,3.33952994025147e-54,1.98378244797201e-258,2.66719395317582e-54,6.34511140145446e-11,0.999999999936549,2.70095462237508e-183,4.06835217246646e-155,8.43402053482449e-206
"45",3.67753003050784e-42,4.43925019237837e-42,3.72097990787055e-237,3.58076440809649e-42,1.0875647067287e-13,0.999999999999891,1.74265449164811e-170,1.09550421646978e-138,1.43583573013186e-192
"46",3.65045276355264e-50,4.42760818048204e-50,3.14422660610532e-261,3.54919378704633e-50,1.43137673605467e-20,1,1.19826973380274e-180,8.28507744040356e-175,2.22996067556316e-208
"47",1.07672630178602e-51,1.29695932756978e-51,2.13278715415168e-265,1.03892281453716e-51,1.12134891490981e-18,1,1.27598718312621e-180,1.48195686938575e-175,1.21061623731438e-205
"48",4.5015770029411e-39,5.42269434279787e-39,1.72016358500568e-238,4.38261140883089e-39,9.05079030792247e-22,1,1.8573366132569e-164,2.75684902449061e-155,1.9049756927288e-190
"49",1.81414833328244e-52,2.20912441183661e-52,6.60767685414702e-271,1.75736881109965e-52,1.3955734610349e-20,1,2.92028318467601e-185,3.29804059909597e-184,7.26605330736265e-212
"50",1.24133885171003e-48,1.50405590379622e-48,2.15518604126699e-251,1.20106257707189e-48,5.12899323528603e-19,1,5.99011969970222e-172,7.26229574964195e-162,3.04630106503903e-197
"51",3.79539373051414e-47,4.55819250568625e-47,2.84024688305084e-234,3.67349619135529e-47,4.91202432976497e-13,0.999999999999509,2.21329042949624e-163,7.81984163895413e-135,3.2925266892745e-185
"52",6.81395094601153e-47,8.21216228119418e-47,1.17038733500972e-254,6.60249753077489e-47,1.75233829613736e-21,1,3.35950732232556e-173,2.12619799904239e-171,7.7719089693313e-201
"53",2.19680358768571e-48,2.66177266343279e-48,9.84356573717619e-260,2.13720552295013e-48,3.17868846079081e-18,1,1.3963566873732e-181,2.28811372432163e-171,4.900950562862e-209
"54",2.45053964645831e-44,2.97296954104259e-44,2.20620868330978e-254,2.3889068647495e-44,4.80378387214747e-22,1,1.63433015627106e-176,2.86991046830408e-171,1.57233940695659e-204
"55",4.54041585747906e-53,5.51180751725782e-53,8.86341418261444e-275,4.38762109339869e-53,2.60366692922265e-20,1,4.5737849392827e-187,1.58834034776542e-188,8.22849131265019e-214
"56",1.36461880564551e-29,1.63407749239175e-29,2.18044011990841e-204,1.32767931458819e-29,4.56134081893426e-18,1,5.47609657088775e-143,1.03043994465583e-116,1.34691326118706e-161
"57",3.90922447516599e-53,4.8248867121226e-53,2.5052707166937e-266,3.82335298705003e-53,9.6102849854328e-14,0.999999999999904,1.23317226407215e-191,6.3237225550453e-168,3.47465052466007e-217
"58",3.14806121310061e-43,3.77397541970959e-43,3.34479458408065e-240,3.04571811692883e-43,4.08759627204924e-22,1,8.99877074686158e-161,1.50935392882178e-158,3.64381994716249e-187
"59",1.5544653240987e-47,1.87416840361336e-47,4.16856031447232e-244,1.51279077706227e-47,2.74154695503681e-14,0.999999999999973,1.40026031827398e-173,4.6281525600453e-147,2.20060541146809e-197
"60",2.12538160897131e-50,2.58285798330542e-50,2.05180050407845e-258,2.0633691536411e-50,4.86279086341561e-19,1,1.46030600394666e-178,1.14669515159098e-169,9.12444648002849e-205
"61",1.41747617063129e-30,1.71290356656658e-30,3.9707806267173e-215,1.38150936807991e-30,1.58715991040696e-21,1,7.78407767225289e-153,1.84967292224865e-133,1.50651364738514e-170
