"","x"
"1",6
"2",3
"3",8
"4",6
"5",8
"6",5
"7",5
"8",1
"9",5
"10",5
"11",9
"12",6
"13",5
"14",6
"15",3
"16",3
"17",8
"18",5
"19",2
"20",3
"21",6
"22",2
"23",8
"24",8
"25",3
"26",1
"27",3
"28",6
"29",4
"30",2
"31",9
"32",8
"33",7
"34",7
"35",6
"36",1
"37",6
"38",9
"39",8
"40",3
"41",6
"42",5
"43",8
"44",6
"45",3
"46",8
"47",3
"48",2
"49",5
"50",7
"51",6
"52",4
"53",3
"54",8
"55",5
"56",5
"57",1
"58",5
"59",5
"60",2
"61",6
"62",6
"63",6
"64",5
"65",1
"66",6
"67",9
"68",6
"69",9
"70",5
"71",3
"72",2
"73",5
"74",8
"75",6
"76",3
"77",5
"78",8
"79",2
"80",2
"81",6
"82",7
"83",9
"84",8
"85",5
"86",6
"87",8
"88",5
"89",3
"90",3
"91",7
"92",5
"93",4
"94",9
"95",3
"96",6
"97",5
"98",8
"99",6
"100",5
"101",8
"102",7
"103",8
"104",8
"105",8
"106",6
"107",5
"108",3
"109",5
"110",6
"111",6
"112",7
"113",6
"114",6
"115",4
"116",5
"117",8
"118",2
"119",9
"120",3
"121",5
"122",6
"123",5
"124",5
"125",5
"126",5
"127",8
"128",2
"129",4
"130",3
"131",5
"132",8
"133",3
"134",5
"135",8
"136",8
"137",9
"138",5
"139",5
"140",2
"141",2
"142",8
"143",4
"144",5
"145",8
"146",7
"147",2
"148",8
"149",8
"150",8
"151",5
"152",3
"153",5
"154",5
"155",3
"156",9
"157",9
"158",5
"159",6
"160",7
"161",7
"162",5
"163",5
"164",4
"165",6
"166",2
"167",8
"168",8
"169",2
"170",5
"171",9
"172",8
"173",6
"174",9
"175",2
"176",5
"177",3
"178",9
"179",8
"180",5
"181",2
"182",6
"183",2
"184",6
"185",1
"186",8
"187",3
"188",6
"189",8
"190",6
"191",8
"192",2
"193",4
"194",4
"195",3
"196",6
"197",6
"198",3
"199",2
"200",6
"201",9
"202",8
"203",3
"204",3
"205",5
"206",2
"207",1
"208",9
"209",2
"210",5
"211",7
"212",7
"213",9
"214",8
"215",6
"216",7
"217",8
"218",6
"219",3
"220",2
"221",6
"222",7
"223",6
"224",2
"225",5
"226",5
"227",8
"228",8
"229",5
"230",2
"231",1
"232",2
"233",6
"234",8
"235",6
"236",3
"237",5
"238",8
"239",3
"240",5
"241",7
"242",5
"243",5
"244",5
"245",8
"246",1
"247",5
"248",9
"249",5
"250",2
"251",7
"252",5
"253",8
"254",2
"255",2
"256",5
"257",8
"258",3
"259",3
"260",8
"261",9
"262",7
"263",5
"264",3
"265",8
"266",8
"267",2
"268",3
"269",8
"270",9
"271",6
"272",6
"273",5
"274",7
"275",2
"276",3
"277",1
"278",5
"279",8
"280",3
"281",9
"282",5
"283",8
"284",8
"285",6
"286",3
"287",3
"288",8
"289",3
"290",1
"291",5
"292",8
"293",5
"294",9
"295",2
"296",1
"297",6
"298",9
"299",4
"300",3
"301",5
"302",8
"303",3
"304",4
"305",5
"306",2
"307",2
"308",8
"309",6
"310",5
"311",6
"312",8
"313",2
"314",3
"315",6
"316",8
"317",6
"318",5
"319",8
"320",3
"321",8
"322",8
"323",2
"324",5
"325",5
"326",1
"327",1
"328",9
"329",5
"330",1
"331",8
"332",5
"333",8
"334",3
"335",2
"336",6
"337",5
"338",2
"339",7
"340",5
"341",5
"342",6
"343",2
"344",3
"345",5
"346",1
"347",7
"348",6
"349",5
"350",9
"351",2
"352",9
"353",1
"354",5
"355",2
"356",5
"357",8
"358",3
"359",8
"360",5
"361",5
"362",8
"363",5
"364",6
"365",5
"366",8
"367",6
"368",3
"369",1
"370",7
"371",5
"372",5
"373",5
"374",6
"375",2
"376",5
"377",2
"378",6
"379",2
"380",3
"381",8
"382",3
"383",3
"384",7
"385",9
"386",4
"387",2
"388",7
"389",1
"390",8
"391",6
"392",8
"393",7
"394",3
"395",8
"396",8
"397",8
"398",5
"399",8
"400",6
"401",6
"402",8
"403",3
"404",6
"405",2
"406",9
"407",5
"408",8
"409",9
"410",4
"411",9
"412",5
"413",2
"414",2
"415",2
"416",8
"417",8
"418",3
"419",2
"420",5
"421",5
"422",5
"423",8
"424",6
"425",3
"426",5
"427",5
"428",8
"429",3
"430",9
"431",5
"432",8
"433",9
"434",5
"435",1
"436",5
"437",2
"438",1
"439",6
"440",6
"441",2
"442",5
"443",1
"444",3
"445",5
"446",2
"447",4
"448",5
"449",5
"450",5
"451",3
"452",5
"453",3
"454",3
"455",8
"456",8
"457",8
"458",2
"459",7
"460",6
"461",8
"462",6
"463",8
"464",5
"465",3
"466",7
"467",3
"468",1
"469",7
"470",8
"471",3
"472",5
"473",7
"474",3
"475",7
"476",8
"477",3
"478",9
"479",3
"480",3
"481",8
"482",1
"483",8
"484",5
"485",7
"486",6
"487",5
"488",5
"489",7
"490",8
"491",6
"492",4
"493",2
"494",7
"495",8
"496",8
"497",5
"498",5
"499",7
"500",8
"501",5
"502",5
"503",2
"504",5
"505",8
"506",6
"507",5
"508",3
"509",2
"510",1
"511",5
"512",7
"513",2
"514",9
"515",5
"516",5
"517",5
"518",7
"519",3
"520",2
"521",8
"522",3
"523",8
"524",2
"525",8
"526",5
"527",5
"528",3
"529",3
"530",8
"531",5
"532",6
"533",5
"534",3
"535",8
"536",5
"537",5
"538",6
"539",5
"540",7
"541",8
"542",8
"543",2
"544",3
"545",8
"546",5
"547",3
"548",3
"549",5
"550",6
"551",8
"552",5
"553",9
"554",4
"555",3
"556",9
"557",2
"558",3
"559",8
"560",5
"561",2
"562",5
"563",2
"564",7
"565",7
"566",4
"567",3
"568",5
"569",3
"570",2
"571",5
"572",8
"573",8
"574",9
"575",2
"576",1
"577",5
"578",8
"579",6
"580",5
"581",1
"582",8
"583",3
"584",5
"585",8
"586",3
"587",3
"588",7
"589",5
"590",5
"591",8
"592",5
"593",5
"594",3
"595",1
"596",2
"597",3
"598",1
"599",9
"600",9
"601",3
"602",5
"603",2
"604",5
"605",2
"606",5
"607",3
"608",7
"609",3
"610",2
"611",4
"612",6
"613",2
"614",3
"615",2
"616",1
"617",3
"618",5
"619",8
"620",6
"621",8
"622",8
"623",5
"624",5
"625",3
"626",3
"627",3
"628",6
"629",5
"630",1
"631",3
"632",5
"633",8
"634",5
"635",5
"636",3
"637",5
"638",5
"639",8
"640",8
"641",5
"642",5
"643",1
"644",3
"645",3
"646",2
"647",1
"648",5
"649",4
"650",5
"651",5
"652",6
"653",3
"654",2
"655",7
"656",6
"657",7
"658",2
"659",7
"660",1
"661",4
"662",5
"663",5
"664",5
"665",2
"666",7
"667",3
"668",3
"669",5
"670",5
"671",5
"672",5
"673",6
"674",3
"675",5
"676",3
"677",7
"678",6
"679",7
"680",5
"681",3
"682",5
"683",8
"684",6
"685",8
"686",3
"687",5
"688",2
"689",5
"690",5
"691",5
"692",6
"693",4
"694",8
"695",5
"696",6
"697",5
"698",4
"699",4
"700",3
"701",5
"702",5
"703",3
"704",5
"705",2
"706",2
"707",2
"708",3
"709",6
"710",6
"711",8
"712",7
"713",8
"714",2
"715",5
"716",5
"717",2
"718",2
"719",8
"720",7
"721",7
"722",1
"723",3
"724",6
"725",9
"726",8
"727",8
"728",5
"729",5
"730",3
"731",6
"732",6
"733",4
"734",3
"735",7
"736",5
"737",1
"738",5
"739",3
"740",3
"741",8
"742",4
"743",2
"744",5
"745",2
"746",5
"747",5
"748",5
"749",5
"750",5
"751",3
"752",5
"753",9
"754",5
"755",5
"756",3
"757",3
"758",5
"759",5
"760",8
"761",5
"762",5
"763",3
"764",7
"765",1
"766",3
"767",9
"768",4
"769",8
"770",3
"771",8
"772",2
"773",5
"774",5
"775",3
"776",9
"777",5
"778",5
"779",2
"780",3
"781",1
"782",7
"783",2
"784",6
"785",3
"786",7
"787",5
"788",5
"789",1
"790",5
"791",7
"792",5
"793",8
"794",6
"795",3
"796",7
"797",5
"798",4
"799",6
"800",3
"801",8
"802",8
"803",3
"804",3
"805",1
"806",7
"807",6
"808",3
"809",5
"810",3
"811",2
"812",5
"813",8
"814",8
"815",3
"816",3
"817",7
"818",3
"819",7
"820",8
"821",8
"822",3
"823",8
"824",3
"825",5
"826",4
"827",9
"828",2
"829",5
"830",9
"831",1
"832",4
