"","x"
"1",13
"2",27
"3",5
"4",16
"5",20
"6",21
"7",2
"8",3
"9",16
"10",2
"11",2
"12",25
"13",2
"14",7
"15",5
"16",2
"17",2
"18",2
"19",25
"20",16
"21",4
"22",28
"23",16
"24",13
"25",11
"26",14
"27",17
"28",3
"29",11
"30",25
"31",9
"32",14
"33",20
"34",19
"35",5
"36",17
"37",27
"38",4
"39",14
"40",1
"41",20
"42",5
"43",13
"44",28
"45",28
"46",9
"47",15
"48",17
"49",28
"50",21
"51",1
"52",20
"53",11
"54",20
"55",11
"56",6
"57",1
"58",20
"59",28
"60",20
"61",5
"62",16
"63",27
"64",21
"65",4
"66",20
"67",16
"68",29
"69",3
"70",28
"71",21
"72",11
"73",11
"74",11
"75",5
"76",21
"77",16
"78",29
"79",20
"80",2
"81",16
"82",16
"83",16
"84",20
"85",15
"86",23
"87",11
"88",5
"89",16
"90",13
"91",15
"92",28
"93",2
"94",17
"95",16
"96",25
"97",28
"98",16
"99",13
"100",16
"101",2
"102",19
"103",1
"104",5
"105",17
"106",27
"107",16
"108",1
"109",17
"110",16
"111",5
"112",17
"113",16
"114",7
"115",14
"116",20
"117",28
"118",28
"119",2
"120",1
"121",9
"122",14
"123",2
"124",11
"125",28
"126",16
"127",16
"128",20
"129",5
"130",1
"131",21
"132",11
"133",15
"134",19
"135",21
"136",21
"137",28
"138",1
"139",28
"140",6
"141",21
"142",14
"143",28
"144",2
"145",16
"146",29
"147",21
"148",3
"149",16
"150",15
"151",5
"152",21
"153",15
"154",7
"155",9
"156",17
"157",15
"158",1
"159",2
"160",17
"161",5
"162",17
"163",16
"164",19
"165",13
"166",11
"167",11
"168",6
"169",13
"170",16
"171",2
"172",25
"173",1
"174",28
"175",28
"176",4
"177",5
"178",6
"179",4
"180",1
"181",27
"182",1
"183",23
"184",16
"185",2
"186",7
"187",16
"188",6
"189",25
"190",5
"191",17
"192",17
"193",1
"194",19
"195",28
"196",21
"197",17
"198",25
"199",21
"200",11
"201",1
"202",20
"203",28
"204",28
"205",23
"206",21
"207",3
"208",27
"209",1
"210",27
"211",13
"212",23
"213",17
"214",13
"215",17
"216",28
"217",1
"218",14
"219",16
"220",15
"221",9
"222",16
"223",15
"224",27
"225",20
"226",28
"227",20
"228",20
"229",4
"230",3
"231",20
"232",28
"233",17
"234",11
"235",12
"236",16
"237",3
"238",28
"239",1
"240",21
"241",16
"242",27
"243",17
"244",19
"245",19
"246",14
"247",28
"248",4
"249",11
"250",3
"251",2
"252",20
"253",25
"254",7
"255",19
"256",19
"257",9
"258",1
"259",9
"260",16
"261",5
"262",16
"263",13
"264",19
"265",23
"266",21
"267",16
"268",21
"269",15
"270",16
"271",13
"272",11
"273",28
"274",11
"275",28
"276",19
"277",9
"278",5
"279",28
"280",1
"281",2
"282",3
"283",28
"284",14
"285",28
"286",25
"287",3
"288",23
"289",1
"290",13
"291",16
"292",28
"293",20
"294",20
"295",23
"296",13
"297",23
"298",20
"299",15
"300",14
"301",14
"302",3
"303",29
"304",28
"305",29
"306",17
"307",3
"308",23
"309",23
"310",5
"311",16
"312",21
"313",21
"314",9
"315",15
"316",27
"317",14
"318",15
"319",16
"320",3
"321",16
"322",28
"323",27
"324",28
"325",3
"326",5
"327",17
"328",21
"329",16
"330",7
"331",16
"332",28
"333",16
"334",28
"335",3
"336",1
"337",11
"338",16
"339",4
"340",4
"341",28
"342",29
"343",28
"344",16
"345",28
"346",16
"347",5
"348",17
"349",28
"350",5
"351",15
"352",28
"353",14
"354",4
"355",28
"356",4
"357",4
"358",5
"359",13
"360",13
"361",16
"362",16
"363",16
"364",1
"365",13
"366",21
"367",11
"368",11
"369",13
"370",15
"371",16
"372",1
"373",7
"374",16
"375",21
"376",7
"377",15
"378",16
"379",17
"380",27
"381",27
"382",27
"383",23
"384",4
"385",2
"386",2
"387",21
"388",17
"389",11
"390",21
"391",27
"392",17
"393",15
"394",27
"395",7
"396",16
"397",2
"398",9
"399",2
"400",17
"401",27
"402",3
"403",19
"404",4
"405",4
"406",23
"407",4
"408",4
"409",23
"410",4
"411",4
"412",21
"413",21
"414",29
"415",17
"416",28
"417",16
"418",4
"419",16
"420",16
"421",16
"422",11
"423",28
"424",5
"425",19
"426",15
"427",17
"428",23
"429",17
"430",17
"431",28
"432",2
"433",2
"434",28
"435",28
"436",4
"437",7
"438",28
"439",28
"440",11
"441",9
"442",11
"443",21
"444",2
"445",17
"446",23
"447",23
"448",17
"449",28
"450",19
"451",9
"452",28
"453",21
"454",20
"455",20
"456",20
"457",11
"458",21
"459",20
"460",28
"461",14
"462",14
"463",23
"464",21
"465",27
"466",2
"467",21
"468",21
"469",14
"470",14
"471",25
"472",23
"473",25
"474",13
"475",17
"476",20
"477",20
"478",13
"479",5
"480",28
"481",21
"482",28
"483",5
"484",16
"485",27
"486",16
"487",20
"488",13
"489",21
"490",20
"491",20
"492",4
"493",28
"494",21
"495",11
"496",11
"497",15
"498",28
"499",5
"500",2
"501",9
"502",28
"503",12
"504",14
"505",27
"506",19
"507",19
"508",14
"509",16
"510",21
"511",9
"512",11
"513",23
"514",13
"515",2
"516",14
"517",20
"518",20
"519",17
"520",28
"521",21
"522",5
"523",23
"524",1
"525",7
"526",3
"527",16
"528",16
"529",28
"530",28
"531",11
"532",2
"533",19
"534",25
"535",16
"536",16
"537",3
"538",16
"539",28
"540",19
"541",29
"542",25
"543",28
"544",16
"545",28
"546",25
"547",15
"548",16
"549",16
"550",21
"551",16
"552",16
"553",16
"554",17
"555",17
"556",14
"557",7
"558",5
"559",28
"560",27
"561",21
"562",11
"563",4
"564",28
"565",21
"566",28
"567",7
"568",4
"569",23
"570",29
"571",29
"572",21
"573",27
"574",17
"575",1
"576",21
"577",21
"578",17
"579",28
"580",3
"581",1
"582",21
"583",25
"584",28
"585",11
"586",27
"587",23
"588",21
"589",1
"590",9
"591",9
"592",9
"593",15
"594",2
"595",1
"596",27
"597",23
"598",23
"599",28
"600",25
"601",25
"602",2
"603",29
"604",2
"605",2
"606",23
"607",14
"608",28
"609",15
"610",15
"611",20
"612",16
"613",21
"614",11
"615",28
"616",19
"617",28
"618",2
"619",21
"620",27
"621",28
"622",5
"623",21
"624",28
"625",20
"626",11
"627",27
"628",16
"629",28
"630",16
"631",13
"632",11
"633",11
"634",21
"635",20
"636",21
"637",16
"638",3
"639",16
"640",5
"641",28
"642",11
"643",28
"644",28
"645",27
"646",4
"647",13
"648",4
"649",28
"650",17
"651",20
"652",21
"653",16
"654",28
"655",28
"656",16
"657",16
"658",5
"659",21
"660",11
"661",1
"662",27
"663",16
"664",20
"665",16
"666",7
"667",16
"668",11
"669",11
"670",28
"671",2
"672",16
"673",13
"674",5
"675",5
"676",21
"677",28
"678",2
"679",28
"680",21
"681",20
"682",17
"683",28
"684",16
"685",17
"686",19
"687",27
"688",20
"689",3
"690",7
"691",9
"692",11
"693",28
"694",13
"695",23
"696",11
"697",28
"698",21
"699",14
"700",21
"701",29
"702",25
"703",19
"704",27
"705",17
"706",5
"707",21
"708",4
"709",4
"710",5
"711",5
"712",17
"713",11
"714",17
"715",16
"716",6
"717",5
"718",20
"719",23
"720",21
"721",21
"722",28
"723",1
"724",5
"725",1
"726",1
"727",13
"728",17
"729",23
"730",17
"731",2
"732",2
"733",4
"734",4
"735",1
"736",28
"737",11
"738",11
"739",11
"740",25
"741",19
"742",11
"743",16
"744",16
"745",5
"746",28
"747",21
"748",21
"749",5
"750",21
"751",2
"752",19
"753",28
"754",23
"755",11
"756",19
"757",25
"758",2
"759",2
"760",21
"761",23
"762",21
"763",5
"764",28
"765",27
"766",28
"767",16
"768",25
"769",23
"770",13
"771",28
"772",25
"773",28
"774",14
"775",2
"776",2
"777",5
"778",5
"779",17
"780",15
"781",17
"782",2
"783",11
"784",28
"785",27
"786",13
"787",16
"788",1
"789",21
"790",14
"791",21
"792",21
"793",16
"794",16
"795",5
"796",11
"797",1
"798",21
"799",21
"800",16
"801",23
"802",14
"803",16
"804",21
"805",17
"806",4
"807",1
"808",11
"809",4
"810",16
"811",20
"812",7
"813",13
"814",17
"815",9
"816",29
"817",9
"818",27
"819",16
"820",7
"821",25
"822",27
"823",4
"824",16
"825",17
"826",4
"827",14
"828",15
"829",11
"830",29
"831",16
"832",9
"833",2
"834",9
"835",14
"836",9
"837",2
"838",28
"839",17
"840",28
"841",2
"842",2
"843",15
"844",2
"845",12
"846",5
"847",9
"848",28
"849",5
"850",17
"851",28
"852",29
"853",13
"854",14
"855",25
"856",7
"857",23
"858",23
"859",17
"860",28
"861",16
"862",5
"863",5
"864",27
"865",15
"866",27
"867",2
"868",14
"869",2
"870",2
"871",25
"872",20
"873",23
"874",5
"875",28
"876",28
"877",11
"878",17
"879",17
"880",17
"881",15
"882",20
"883",20
"884",9
"885",19
"886",11
"887",1
"888",4
"889",17
"890",7
"891",16
"892",6
"893",6
"894",6
"895",6
"896",12
"897",6
"898",6
"899",2
"900",16
"901",23
"902",28
"903",28
"904",16
"905",7
"906",16
"907",28
"908",23
"909",2
"910",2
"911",9
"912",23
"913",28
"914",28
"915",3
"916",17
"917",17
"918",28
"919",17
"920",5
"921",16
"922",3
"923",4
"924",5
"925",15
"926",20
"927",27
"928",16
"929",16
"930",23
"931",27
"932",20
"933",27
"934",15
"935",20
"936",5
"937",23
"938",23
"939",13
"940",23
"941",17
"942",5
"943",28
"944",25
"945",28
"946",2
"947",20
"948",16
"949",28
"950",25
"951",27
"952",4
"953",16
"954",5
"955",1
"956",21
"957",11
"958",21
"959",16
"960",7
"961",16
"962",28
"963",16
"964",20
"965",28
"966",1
"967",28
"968",23
"969",28
"970",4
"971",15
"972",27
"973",23
"974",2
"975",14
"976",5
"977",2
"978",11
"979",17
"980",4
"981",20
"982",27
"983",13
"984",2
"985",28
"986",11
"987",14
"988",28
"989",2
"990",19
"991",1
"992",5
"993",16
"994",2
"995",17
"996",4
"997",3
"998",4
"999",11
"1000",5
"1001",16
"1002",21
"1003",13
"1004",3
"1005",14
"1006",9
"1007",2
"1008",2
"1009",19
"1010",17
"1011",27
"1012",13
"1013",20
"1014",16
"1015",16
"1016",21
"1017",28
"1018",13
"1019",16
"1020",2
"1021",14
"1022",5
"1023",28
"1024",23
"1025",3
