V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
2927.0,1044.0,2335.0,3388.0,4852.0,11406.0,15518.0,12748.0,9922.0,8330.0,3505.0,7150.0
1952.0,2164.0,8922.0,9126.0,9842.0,12343.0,21543.0,15797.0,10793.0,8293.0,3380.0,7053.0
2536.0,1851.0,5193.0,4373.0,4492.0,6039.0,7176.0,3887.0,2723.0,1971.0,973.0,1937.0
27665.0,10160.0,14679.0,11232.0,12541.0,18152.0,23555.0,18284.0,15177.0,13343.0,7562.0,15900.0
1729.0,447.0,557.0,283.0,277.0,303.0,394.0,299.0,227.0,240.0,148.0,292.0
124.0,1111.0,4042.0,1198.0,510.0,240.0,183.0,106.0,58.0,62.0,22.0,80.0
33.0,33.0,78.0,77.0,128.0,335.0,928.0,2428.0,4290.0,5861.0,2671.0,5341.0
17.0,8.0,32.0,25.0,48.0,195.0,403.0,741.0,697.0,372.0,92.0,174.0
6817.0,2503.0,3607.0,2825.0,2977.0,4409.0,5679.0,4403.0,3628.0,3143.0,1950.0,3857.0
9.0,11.0,31.0,25.0,49.0,123.0,423.0,983.0,1719.0,2535.0,1106.0,2138.0
35.0,31.0,61.0,65.0,111.0,307.0,922.0,2321.0,4065.0,5746.0,2448.0,5001.0
67.0,30.0,50.0,64.0,101.0,165.0,260.0,134.0,142.0,169.0,123.0,306.0
21.0,19.0,37.0,57.0,55.0,169.0,544.0,1286.0,2348.0,3363.0,1457.0,2921.0
96507.0,112867.0,272559.0,157007.0,164945.0,210137.0,285287.0,122509.0,131725.0,125201.0,93508.0,212174.0
34220.0,24338.0,68188.0,57692.0,57961.0,79761.0,94295.0,50718.0,35516.0,27133.0,12859.0,27551.0
5348.0,5219.0,12783.0,13544.0,21833.0,56932.0,164917.0,413834.0,728909.0,1048169.0,456433.0,930357.0
31.0,50.0,97.0,100.0,137.0,336.0,1059.0,2578.0,4455.0,6511.0,2753.0,5646.0
519.0,543.0,1283.0,1380.0,2116.0,5844.0,16667.0,42028.0,73190.0,106358.0,46292.0,93898.0
7.0,2.0,14.0,12.0,21.0,32.0,59.0,35.0,23.0,42.0,27.0,78.0
7554.0,2792.0,4016.0,3101.0,3524.0,4969.0,6480.0,5022.0,4262.0,3630.0,2085.0,4397.0
989.0,1108.0,2766.0,1919.0,1809.0,2759.0,2524.0,2139.0,1822.0,1937.0,1091.0,1795.0
5364.0,6010.0,17067.0,10362.0,8686.0,9517.0,10401.0,6144.0,4298.0,3333.0,2021.0,4014.0
5382.0,1937.0,2781.0,2175.0,2376.0,3498.0,4439.0,3386.0,2890.0,2497.0,1497.0,2827.0
780.0,277.0,588.0,896.0,1321.0,2937.0,4028.0,3310.0,2677.0,2191.0,966.0,1869.0
2935.0,1393.0,2808.0,1609.0,1317.0,1282.0,1495.0,910.0,622.0,531.0,300.0,615.0
26297.0,11243.0,21998.0,17896.0,20570.0,40122.0,65558.0,78381.0,88344.0,111322.0,54616.0,111450.0
12758.0,28047.0,129456.0,87798.0,67262.0,57312.0,63080.0,26944.0,16537.0,13510.0,5854.0,12961.0
421.0,239.0,549.0,843.0,1294.0,5019.0,9637.0,17315.0,16264.0,10099.0,2186.0,4556.0
3081.0,1427.0,2896.0,1581.0,1402.0,1303.0,1542.0,943.0,691.0,514.0,350.0,623.0
0.5224431022003049,0.17584764429649946,1.0,2.0,1.0,4.0,4.0,3.0,0.5170211189879241,5.0,2.0,7.0
8.0,1.0,2.0,2.0,6.0,13.0,13.0,33.0,101.0,399.0,397.0,977.0
11704.0,5043.0,9620.0,7916.0,9160.0,18078.0,28865.0,34896.0,39210.0,49784.0,24434.0,49419.0
1889.0,480.0,686.0,311.0,310.0,363.0,461.0,322.0,260.0,242.0,137.0,299.0
69.0,20.0,27.0,19.0,28.0,59.0,61.0,69.0,90.0,141.0,147.0,307.0
1.0,0.6641346270103704,1.0,1.0,1.0,2.0,2.0,0.7466603842932278,0.1341971036348688,0.9177717215129217,0.4776242877651571,1.0
6584.0,14594.0,66665.0,45428.0,34411.0,30194.0,32941.0,14074.0,8441.0,7105.0,3069.0,6632.0
147.0,140.0,609.0,655.0,652.0,818.0,1603.0,1140.0,734.0,542.0,224.0,518.0
90507.0,105542.0,251696.0,164102.0,168182.0,254367.0,227554.0,200282.0,163744.0,173482.0,95847.0,174080.0
2948.0,1306.0,2518.0,2053.0,2322.0,4391.0,7501.0,8954.0,9930.0,12588.0,6289.0,12718.0
1253.0,1396.0,3523.0,1853.0,1756.0,1772.0,2340.0,1696.0,1415.0,1205.0,614.0,1342.0
41026.0,2912.0,1785.0,583.0,673.0,622.0,911.0,871.0,532.0,799.0,450.0,905.0
3149.0,2148.0,6348.0,5151.0,5341.0,7471.0,8608.0,4683.0,3340.0,2522.0,1117.0,2445.0
18354.0,6464.0,14271.0,21386.0,30982.0,71100.0,97732.0,80884.0,62273.0,52004.0,22049.0,44427.0
91299.0,101068.0,286768.0,173451.0,146969.0,162580.0,174532.0,104314.0,72708.0,56678.0,35136.0,67642.0
8860.0,10012.0,28018.0,17049.0,14390.0,15971.0,17149.0,10130.0,7110.0,5587.0,3358.0,6510.0
12.0,2.0,8.0,4.0,11.0,23.0,33.0,57.0,179.0,670.0,768.0,1538.0
57.0,53.0,95.0,69.0,46.0,80.0,84.0,92.0,83.0,111.0,77.0,137.0
468.0,975.0,4541.0,3091.0,2390.0,2027.0,2241.0,919.0,560.0,446.0,226.0,433.0
2514.0,2986.0,6489.0,3048.0,2436.0,2173.0,2518.0,1642.0,1169.0,832.0,737.0,1313.0
12200.0,12426.0,38300.0,17535.0,11551.0,7973.0,8411.0,4776.0,3430.0,2339.0,1931.0,3639.0
5490.0,5950.0,14290.0,8164.0,7210.0,7608.0,9946.0,7349.0,5826.0,5214.0,2719.0,5739.0
6960.0,1829.0,2365.0,1220.0,1125.0,1282.0,1633.0,1155.0,886.0,844.0,552.0,1224.0
6873.0,3069.0,6503.0,3677.0,3012.0,2915.0,3335.0,2061.0,1501.0,1172.0,699.0,1485.0
94340.0,25095.0,31490.0,16549.0,15359.0,17400.0,22263.0,14992.0,12389.0,11525.0,7708.0,15829.0
3025.0,1409.0,2926.0,1651.0,1378.0,1308.0,1431.0,936.0,619.0,538.0,311.0,707.0
2.0,3.0,4.0,2.0,6.0,13.0,16.0,101.0,766.0,1871.0,218.0,408.0
824.0,968.0,2214.0,1324.0,1141.0,1234.0,1571.0,1121.0,943.0,808.0,461.0,906.0
2259.0,594.0,767.0,392.0,385.0,439.0,520.0,353.0,318.0,266.0,171.0,392.0
8287.0,9350.0,26425.0,16150.0,13475.0,15118.0,16088.0,9605.0,6671.0,5372.0,3245.0,6129.0
6179.0,1664.0,2047.0,1081.0,999.0,1152.0,1489.0,993.0,852.0,795.0,536.0,1023.0
26083.0,18907.0,52178.0,44220.0,44712.0,61354.0,72087.0,38928.0,27319.0,21015.0,9946.0,20978.0
13446.0,11381.0,16673.0,9807.0,9481.0,9373.0,12617.0,8676.0,7101.0,5322.0,4555.0,8662.0
552.0,575.0,2282.0,2502.0,2673.0,3162.0,5585.0,4117.0,2883.0,2038.0,862.0,1786.0
2938.0,30172.0,108974.0,32274.0,14659.0,6234.0,5163.0,2550.0,1907.0,1786.0,659.0,1858.0
36606.0,42544.0,102149.0,66019.0,67830.0,102910.0,92319.0,81275.0,65986.0,70236.0,39018.0,70520.0
74293.0,4900.0,3177.0,1092.0,1295.0,1185.0,1520.0,1512.0,1051.0,1384.0,767.0,1620.0
17093.0,6367.0,9081.0,6862.0,7791.0,11212.0,14673.0,11405.0,9297.0,8288.0,4789.0,9635.0
29.0,16.0,60.0,122.0,192.0,860.0,1877.0,929.0,315.0,126.0,32.0,103.0
77.0,33.0,122.0,142.0,236.0,893.0,1640.0,3046.0,2846.0,1787.0,346.0,791.0
35428.0,42204.0,93526.0,44962.0,35276.0,30652.0,36989.0,23998.0,17484.0,11844.0,10664.0,19703.0
849.0,8398.0,30556.0,9045.0,4057.0,1823.0,1422.0,662.0,510.0,453.0,180.0,532.0
2525.0,1110.0,2471.0,1327.0,1091.0,1044.0,1249.0,798.0,578.0,455.0,228.0,507.0
2623.0,17233.0,2180.0,621.0,546.0,430.0,553.0,437.0,254.0,218.0,183.0,499.0
