V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
2927,1044,2335,3388,4852,11406,15518,12748,9922,8330,3505,7150
1952,2164,8922,9126,9842,12343,21543,15797,10793,8293,3380,7053
2536,1851,5193,4373,4492,6039,7176,3887,2723,1971,973,1937
27665,10160,14679,11232,12541,18152,23555,18284,15177,13343,7562,15900
1729,447,557,283,277,303,394,299,227,240,148,292
124,1111,4042,1198,510,240,183,106,58,62,22,80
33,33,78,77,128,335,928,2428,4290,5861,2671,5341
17,8,32,25,48,195,403,741,697,372,92,174
6817,2503,3607,2825,2977,4409,5679,4403,3628,3143,1950,3857
9,11,31,25,49,123,423,983,1719,2535,1106,2138
35,31,61,65,111,307,922,2321,4065,5746,2448,5001
67,30,50,64,101,165,260,134,142,169,123,306
21,19,37,57,55,169,544,1286,2348,3363,1457,2921
96507,112867,272559,157007,164945,210137,285287,122509,131725,125201,93508,212174
34220,24338,68188,57692,57961,79761,94295,50718,35516,27133,12859,27551
5348,5219,12783,13544,21833,56932,164917,413834,728909,1048169,456433,930357
31,50,97,100,137,336,1059,2578,4455,6511,2753,5646
519,543,1283,1380,2116,5844,16667,42028,73190,106358,46292,93898
7,2,14,12,21,32,59,35,23,42,27,78
7554,2792,4016,3101,3524,4969,6480,5022,4262,3630,2085,4397
989,1108,2766,1919,1809,2759,2524,2139,1822,1937,1091,1795
5364,6010,17067,10362,8686,9517,10401,6144,4298,3333,2021,4014
5382,1937,2781,2175,2376,3498,4439,3386,2890,2497,1497,2827
780,277,588,896,1321,2937,4028,3310,2677,2191,966,1869
2935,1393,2808,1609,1317,1282,1495,910,622,531,300,615
26297,11243,21998,17896,20570,40122,65558,78381,88344,111322,54616,111450
12758,28047,129456,87798,67262,57312,63080,26944,16537,13510,5854,12961
421,239,549,843,1294,5019,9637,17315,16264,10099,2186,4556
3081,1427,2896,1581,1402,1303,1542,943,691,514,350,623
0,0,1,2,1,4,4,3,0,5,2,7
8,1,2,2,6,13,13,33,101,399,397,977
11704,5043,9620,7916,9160,18078,28865,34896,39210,49784,24434,49419
1889,480,686,311,310,363,461,322,260,242,137,299
69,20,27,19,28,59,61,69,90,141,147,307
1,0,1,1,1,2,2,0,0,0,0,1
6584,14594,66665,45428,34411,30194,32941,14074,8441,7105,3069,6632
147,140,609,655,652,818,1603,1140,734,542,224,518
90507,105542,251696,164102,168182,254367,227554,200282,163744,173482,95847,174080
2948,1306,2518,2053,2322,4391,7501,8954,9930,12588,6289,12718
1253,1396,3523,1853,1756,1772,2340,1696,1415,1205,614,1342
41026,2912,1785,583,673,622,911,871,532,799,450,905
3149,2148,6348,5151,5341,7471,8608,4683,3340,2522,1117,2445
18354,6464,14271,21386,30982,71100,97732,80884,62273,52004,22049,44427
91299,101068,286768,173451,146969,162580,174532,104314,72708,56678,35136,67642
8860,10012,28018,17049,14390,15971,17149,10130,7110,5587,3358,6510
12,2,8,4,11,23,33,57,179,670,768,1538
57,53,95,69,46,80,84,92,83,111,77,137
468,975,4541,3091,2390,2027,2241,919,560,446,226,433
2514,2986,6489,3048,2436,2173,2518,1642,1169,832,737,1313
12200,12426,38300,17535,11551,7973,8411,4776,3430,2339,1931,3639
5490,5950,14290,8164,7210,7608,9946,7349,5826,5214,2719,5739
6960,1829,2365,1220,1125,1282,1633,1155,886,844,552,1224
6873,3069,6503,3677,3012,2915,3335,2061,1501,1172,699,1485
94340,25095,31490,16549,15359,17400,22263,14992,12389,11525,7708,15829
3025,1409,2926,1651,1378,1308,1431,936,619,538,311,707
2,3,4,2,6,13,16,101,766,1871,218,408
824,968,2214,1324,1141,1234,1571,1121,943,808,461,906
2259,594,767,392,385,439,520,353,318,266,171,392
8287,9350,26425,16150,13475,15118,16088,9605,6671,5372,3245,6129
6179,1664,2047,1081,999,1152,1489,993,852,795,536,1023
26083,18907,52178,44220,44712,61354,72087,38928,27319,21015,9946,20978
13446,11381,16673,9807,9481,9373,12617,8676,7101,5322,4555,8662
552,575,2282,2502,2673,3162,5585,4117,2883,2038,862,1786
2938,30172,108974,32274,14659,6234,5163,2550,1907,1786,659,1858
36606,42544,102149,66019,67830,102910,92319,81275,65986,70236,39018,70520
74293,4900,3177,1092,1295,1185,1520,1512,1051,1384,767,1620
17093,6367,9081,6862,7791,11212,14673,11405,9297,8288,4789,9635
29,16,60,122,192,860,1877,929,315,126,32,103
77,33,122,142,236,893,1640,3046,2846,1787,346,791
35428,42204,93526,44962,35276,30652,36989,23998,17484,11844,10664,19703
849,8398,30556,9045,4057,1823,1422,662,510,453,180,532
2525,1110,2471,1327,1091,1044,1249,798,578,455,228,507
2623,17233,2180,621,546,430,553,437,254,218,183,499
